Titre de l'article,Date,Lien,label
Власти ДНР организовали массовый централизованный выезд населения в Россию,2022-02-18 13:10:00,https://tass.ru/mezhdunarodnaya-panorama/13756493,1
"В Думе заявили, что Ростовская область справится с приемом жителей ДНР и ЛНР",2022-02-18 13:46:00,https://tass.ru/politika/13757209,1
Пескову неизвестно об эвакуации жителей Донбасса в Россию,2022-02-18 14:10:00,https://tass.ru/politika/13757849,1
Власти Крыма заявили о готовности принять жителей ДНР,2022-02-18 14:18:00,https://tass.ru/politika/13757407,1
ДНР и ЛНР объявили об эвакуации мирных жителей в Россию.,2022-02-18 15:19:00,https://tass.ru/mezhdunarodnaya-panorama/13758699,1
В ЛНР сообщили о начале эвакуации населения в Россию,2022-02-18 16:48:00,https://tass.ru/mezhdunarodnaya-panorama/13760077,1
"В Госдуме заявили, что сотни тысяч беженцев из Донбасса могут прибыть в Ростовскую область",2022-02-18 17:07:00,https://tass.ru/obschestvo/13760333,1
Минфин перечислит средства на выплаты в 10 тыс. рублей беженцам из ЛНР и ДНР,2022-02-18 17:08:00,https://tass.ru/ekonomika/13760355,1
"Глава ДНР не исключил, что в Россию из Донбасса эвакуируют ""сотни и сотни тысяч человек""",2022-02-18 17:22:00,https://tass.ru/mezhdunarodnaya-panorama/13760533,1
Детский омбудсмен РФ готов оказать содействие эвакуированным из ЛНР и ДНР детям,2022-02-18 17:35:00,https://tass.ru/obschestvo/13760663,1
В Ростовской области в ближайшее время планируют развернуть ПВР на 10 тыс. мест,2022-02-18 17:45:00,https://tass.ru/obschestvo/13760751,1
Из ДНР в Россию планируют эвакуировать около 700 тыс. человек,2022-02-18 17:47:00,https://tass.ru/mezhdunarodnaya-panorama/13760761,1
"В ГД заявили, что другие регионы России должны готовиться к приему беженцев из ДНР и ЛНР",2022-02-18 17:50:00,https://tass.ru/politika/13760709,1
"В Госдуме заявили, что деньги беженцам с Донбасса могут перечислить на карту",2022-02-18 17:55:00,https://tass.ru/politika/13760841,1
"ЛДПР заявила, что ДНР и ЛНР как никогда нуждаются в поддержке России",2022-02-18 18:43:00,https://tass.ru/politika/13761353,1
В Донецке готовятся к эвакуации,2022-02-18 18:48:00,https://tass.ru/mezhdunarodnaya-panorama/13761239,1
Регионы России готовы принять беженцев из ДНР и ЛНР и оказать им помощь,2022-02-18 18:55:00,https://tass.ru/obschestvo/13761433,1
Первые автобусы с беженцами из ДНР прибыли в Ростовскую область,2022-02-18 19:02:00,https://tass.ru/obschestvo/13761541,1
В Ростовской области подготовили ПВР на 3 274 места для размещения жителей ДНР и ЛНР,2022-02-18 19:34:00,https://tass.ru/obschestvo/13761827,1
"Захарова напомнила о словах Зеленского, рекомендовавшего жителям Донбасса уезжать в Россию",2022-02-18 20:06:00,https://tass.ru/politika/13762027,1
Очевидцы сообщают об очереди из желающих выехать у пункта пропуска со стороны ДНР,2022-02-18 20:23:00,https://tass.ru/obschestvo/13762197,1
Нижегородская область направит 40 тонн гуманитарной помощи беженцам с Донбасса,2022-02-18 20:45:00,https://tass.ru/obschestvo/13762337,1
Источник: для эвакуированных из ДНР и ЛНР разворачивают палатки возле КПП Матвеев Курган,2022-02-18 20:53:00,https://tass.ru/obschestvo/13762407,1
Из Луганска в Россию отправился первый автобус с эвакуируемыми жителями,2022-02-18 20:53:00,https://tass.ru/obschestvo/13762389,1
Роспотребнадзор уделит особое внимание организации питания беженцев в Ростовской области,2022-02-18 20:56:00,https://tass.ru/obschestvo/13762457,1
"В МЧС ДНР заявили, что из республики эвакуировали более 3 тыс. человек",2022-02-18 21:58:00,https://tass.ru/obschestvo/13762931,1
"Волонтер рассказал о помощи жителям ДНР, которые не едут в пункты временного размещения",2022-02-18 22:09:00,https://tass.ru/obschestvo/13762975,1
"Волонтеры развернули штаб ""Мы вместе"" для помощи прибывшим из ДНР и ЛНР гражданам",2022-02-18 22:21:00,https://tass.ru/obschestvo/13763103,1
