target,type,token,freq,example_1,example_2,example_3
Refugies,adjectif lié au target,украинских,46,"""Мы обратились к муниципальным властям с просьбой предоставить информацию о том, где они могли бы разместить украинских беженцев. || Titre: МВД Литвы зарегистрировало 10 тыс. пунктов для размещения беженцев с Украины | URL: https://tass.ru/mezhdunarodnaya-panorama/13841351","4 марта Совет ЕС задействовал временный механизм защиты украинских беженцев, который позволит им находиться в Евросоюзе от года до трех лет. || Titre: Глава ЕК сообщила, что в ЕС уже прибыли около 1,2 млн беженцев с Украины | URL: https://tass.ru/mezhdunarodnaya-panorama/13982409",/ТАСС/. Молдавия как нейтральная страна приняла уже 250 тыс. украинских беженцев. || Titre: Молдавия приняла 250 тыс. беженцев с Украины | URL: https://tass.ru/mezhdunarodnaya-panorama/13985805
Refugies,adjectif lié au target,прибывающими,18,"С прибывающими беженцами проводится индивидуальная работа, им оказывается квалифицированная медицинская и психологическая помощь. || Titre: Более 10,5 тыс. жителей Донбасса за сутки пересекли границу России в Ростовской области | URL: https://tass.ru/obschestvo/14458165","С прибывающими беженцами проводится индивидуальная работа, им оказывается квалифицированная медицинская и психологическая помощь. || Titre: Более 5 тыс. жителей Донбасса за сутки пересекли границу России | URL: https://tass.ru/obschestvo/14462483","С прибывающими беженцами проводится индивидуальная работа, им оказывается квалифицированная медицинская и психологическая помощь. || Titre: Более 11 тыс. жителей Донбасса за сутки пересекли границу России в Ростовской области | URL: https://tass.ru/obschestvo/14473887"
Refugies,adjectif lié au target,украинским,6,"Ковач рассказал, что правительство страны выделило на помощь украинским беженцам 600 млн форинтов (более €1,5 млн). || Titre: В Венгрию за неделю прибыли более 120 тыс. украинских беженцев | URL: https://tass.ru/obschestvo/13958085","По его данным, решение, в соответствии с которым украинским беженцам возможно в течение одной недели совершенно бесплатно пользоваться общественным городским транспортом, принял мэр Загреба Томислав Томашевич. || Titre: В Загребе ввели бесплатный проезд на общественном транспорт для беженцев с Украины | URL: https://tass.ru/obschestvo/14109015","При проверке билетов в транспорте украинским беженцам необходимо только предоставить соответствующий документ от МВД Хорватии, подтверждающий их статус. || Titre: В Загребе ввели бесплатный проезд на общественном транспорт для беженцев с Украины | URL: https://tass.ru/obschestvo/14109015"
Refugies,adjectif lié au target,первый,5,"Чеченское отделение партии, при поддержке Регионального общественного фонда имени Героя России, первого президента Чеченской Республики Ахмата-Хаджи Кадырова, направит продовольственную помощь в Ростовскую область, куда прибыли первые беженцы"", - приводит пресс-служба слова председателя парламента региона и секретаря чеченского отделения партии Магомеда Даудова. || Titre: Чечня направит продовольственную помощь в Ростовскую область для беженцев из Донбасса | URL: https://tass.ru/obschestvo/13776685",/ТАСС/. Первые беженцы из Луганской и Донецкой народных республик прибыли в Калининградскую область. || Titre: Первые беженцы из Донбасса прибыли в Калининградскую область | URL: https://tass.ru/obschestvo/13923203,"""В мобильный ПВР в Белгороде прибывают первые беженцы. || Titre: Первые 78 переселенцев из Харьковской области прибыли в мобильный ПВР в Белгороде | URL: https://tass.ru/obschestvo/14151093"
Refugies,adjectif lié au target,украинские,4,"Украинские беженцы прибывают в Литву в основном через Польшу, так как общей границы у этих двух стран нет, между ними находится Белоруссия. || Titre: В Литве трудоустроили более 4,4 тыс. из 42,9 тыс. беженцев с Украины | URL: https://tass.ru/mezhdunarodnaya-panorama/14344781","/ТАСС/. Американское руководство рассчитывает, что украинские беженцы, оказавшиеся в США, смогут как можно скорее вернуться домой. || Titre: Госдеп рассчитывает, что украинские беженцы как можно скорее покинут США | URL: https://tass.ru/mezhdunarodnaya-panorama/14443245","По ее сведениям, в ряде городов Латвии деньги на размещение приезжающих закончились несколько месяцев назад, в Венгрии и Румынии украинские беженцы также столкнулись с проблемами поиска жилья из-за роста платы за долгосрочную аренду. || Titre: WP: жителям Восточной Европы и стран Балтии стало сложнее помогать беженцам с Украины | URL: https://tass.ru/mezhdunarodnaya-panorama/16736557"
Refugies,adjectif lié au target,вынужденный,2,"На заседании руководитель комиссии в сфере жилищной политики общественного совета Надежда Косарева спросила замминистра, не будут ли эвакуированные жители Донбасса приравнены к вынужденным беженцам или переселенцам. || Titre: Минстрой допустил вход эвакуированных из Донбасса в жилпрограмму вынужденных переселенцев | URL: https://tass.ru/nedvizhimost/13838077","""Очередной автопоезд из четырех большегрузов 22 марта выехал из Ставрополя в Симферополь для доставки 80 тонн гуманитарной помощи вынужденным беженцам из ДНР и ЛНР, а также жителям освобожденных территорий Донбасса. || Titre: Ставрополье направило еще 80 тонн гуманитарной помощи для жителей Донбасса | URL: https://tass.ru/obschestvo/14149067",
Refugies,adjectif lié au target,самих,2,"""Что касается самих беженцев, их у нас совершенно не много. || Titre: Власти Крыма заявили, что в регионе нет беженцев с Украины | URL: https://tass.ru/obschestvo/13962031","В этой части Владимир Устинов (полпред президента РФ в ЮФО) выступил не только с поддержкой инициативы самих беженцев по созданию площадок, где смогут донести проверенную и, главное, полезную информацию, но и поручил поддержать с точки зрения взаимодействия органов власти в Южном федеральном округе. || Titre: В России запустили информационные площадки для помощи эвакуированным из ДНР и ЛНР | URL: https://tass.ru/obschestvo/14778713",
Refugies,adjectif lié au target,палестинский,2,"/ТАСС/. Убежища Ближневосточного агентства ООН для помощи палестинским беженцам и организации работ (UNRWA) приняли на данный момент почти 600 тыс. перемещенных лиц из сектора Газа, что в четыре раза превышает их вместимость. || Titre: Убежища UNRWA приняли в четыре раза больше перемещенных лиц из Газы, чем могут | URL: https://tass.ru/mezhdunarodnaya-panorama/19108755","В 149 центрах размещены около 690 тыс. человек, сообщило Ближневосточное агентство ООН для помощи палестинским беженцам и организации работ (БАПОР). || Titre: В БАПОР заявили, что приюты для беженцев в Газе переполнены почти в четыре раза | URL: https://tass.ru/obschestvo/19186241",
Refugies,adjectif lié au target,внутренний,2,"А по области - это около 500 тыс. переселенцев, которые также регулярно ездят в Харьков"", - сказал он в интервью изданию ""Вести"", подчеркнув, что многие из внутренних беженцев - пенсионеры и дети. || Titre: Харьковская область приняла около полумиллиона внутренних беженцев | URL: https://tass.ru/mezhdunarodnaya-panorama/19346417","По данным организации, в других крупных регионах Украины, например, в Днепропетровской и Харьковской областях, также наблюдается рост количества внутренних беженцев. || Titre: Харьковская область приняла около полумиллиона внутренних беженцев | URL: https://tass.ru/mezhdunarodnaya-panorama/19346417",
Refugies,adjectif lié au target,донбасский,1,/ТАСС/. Более 2 млн экспресс-тестов для тестирования донбасских беженцев на COVID-19 поступит в Ростовскую область. || Titre: В Ростовскую область поступит более 2 млн тестов на ковид для беженцев Донбасса | URL: https://tass.ru/obschestvo/13763621,,
Refugies,adjectif lié au target,бесплатный,1,"""В ПВР сегодня началась выдача беженцам бесплатных сим-карт местных операторов связи. || Titre: В Ростовской области эвакуированным жителям Донбасса выдают местные сим-карты | URL: https://tass.ru/obschestvo/13776707",,
Refugies,adjectif lié au target,признанный,1,"""С целью обеспечения пребывания граждан на территорию Республики Крым иностранных лиц или лиц без гражданства РФ, заявивших желание быть признанными беженцами, в первоочередной готовности находятся 2 пункта временного размещения (ПВР), общей вместимостью 200 человек. || Titre: Крым собрал еще более 44 тонн гуманитарной помощи для Донбасса | URL: https://tass.ru/obschestvo/13911527",,
Refugies,adjectif lié au target,военный,1,"""Мы видим, как они вливаются в категорию военных беженцев, однако, в соответствии с национальным руководством [по приему], мы не можем делать различия"", - добавил Каптейнс. || Titre: СМИ: Гаага столкнулась с проблемой украинских мигрантов, выдающихся себя за беженцев | URL: https://tass.ru/mezhdunarodnaya-panorama/15058547",,
Refugies,adjectif lié au target,пожилой,1,"В пресс-службе добавили, что Агентство ООН по делам беженцев оказывает ежемесячную финансовую поддержку в размере 2,2 тыс. леев (около $120) пожилым беженцам, семьям с детьми и тем, кто находится в уязвимой ситуации. || Titre: Молдавия рассчитывает на помощь ООН в приеме беженцев с Украины | URL: https://tass.ru/mezhdunarodnaya-panorama/15387415",,
