target,type,token,freq,example_1,example_2,example_3
Refugies,target = objet → verbe,выплатить,95,"По поручению президента РФ Владимира Путина беженцам, прибывающим в регион, выплатят по 10 тыс. рублей, в область отправились врио главы МЧС Александр Чуприян и глава Роспотребнадзора Анна Попова. || Titre: Роспотребнадзор уделит особое внимание организации питания беженцев в Ростовской области | URL: https://tass.ru/obschestvo/13762457","По поручению президента РФ Владимира Путина беженцам, прибывающим в регион, выплатят по 10 тыс. рублей. || Titre: Регионы России готовы принять беженцев из ДНР и ЛНР и оказать им помощь | URL: https://tass.ru/obschestvo/13761433","По поручению президента РФ Владимира Путина беженцам, прибывающим в регион, выплатят по 10 тыс. рублей. || Titre: В Госдуме заявили, что деньги беженцам с Донбасса могут перечислить на карту | URL: https://tass.ru/politika/13760841"
Refugies,target = objet → verbe,принять,77,"Власти Пензенской области также заявили о готовности принять беженцев из Донбасса, сообщается в официальном Telegram-канале регионального правительства. || Titre: Регионы России готовы принять беженцев из ДНР и ЛНР и оказать им помощь | URL: https://tass.ru/obschestvo/13761433","Кроме того, о готовности принять беженцев из Донбасса также заявили в граничащей с Россией Абхазии. || Titre: Регионы России готовы принять беженцев из ДНР и ЛНР и оказать им помощь | URL: https://tass.ru/obschestvo/13761433","/ТАСС/. Ростовская область располагает достаточным опытом, чтобы принять беженцев из Донецкой и Луганской народных республик (ДНР и ЛНР). || Titre: В Думе заявили, что Ростовская область справится с приемом жителей ДНР и ЛНР | URL: https://tass.ru/politika/13757209"
Refugies,target = objet → verbe,выплачивать,37,"По поручению президента РФ Владимира Путина беженцам, прибывающим в российские регионы, выплачивают по 10 тыс. рублей. || Titre: Ведомство ООН по беженцам обсуждает с РФ вопросы помощи в связи с ситуацией в Донбассе | URL: https://tass.ru/obschestvo/13791135","По поручению Путина беженцам, прибывающим в российский регион, выплачивают по 10 тыс. рублей. || Titre: Из Тюмени в Ростовскую область отправили 7 тонн гуманитарной помощи для жителей ДНР и ЛНР | URL: https://tass.ru/obschestvo/13791019","По поручению президента РФ Владимира Путина беженцам, прибывающим в российские регионы, выплачивают по 10 тыс. рублей. || Titre: Бурятия готова принять 400 эвакуированных из ЛНР и ДНР | URL: https://tass.ru/obschestvo/13790763"
Refugies,target = objet → verbe,принимать,25,"Он также поставил задачу определить, какие регионы, помимо Ростовской области, готовы принимать беженцев. || Titre: Врио главы МЧС РФ потребовал начать выплаты беженцам из Донбасса в течение суток | URL: https://tass.ru/obschestvo/13763683","Координатор Интеграционного комитета ""Россия - Донбасс"" Андрей Козенко, который сейчас находится в Донецке, рассказал ТАСС, что Крым в случае необходимости, как и другие регионы, будет принимать беженцев централизованно. || Titre: Крым и Севастополь отправили около 50 тонн гуманитарной помощи жителям Донбасса | URL: https://tass.ru/obschestvo/13789819","Объявлен сбор и денежных средств, чтобы поддержать регионы, который сейчас принимают беженцев. || Titre: Турчак: помощь для эвакуированных жителей Донбасса в России собирают всем миром | URL: https://tass.ru/obschestvo/13816503"
Refugies,target = objet → verbe,оказать,17,"Власти нескольких регионов России высказали готовность принять и оказать помощь беженцам из Донецкой и Луганской народных республик (ДНР и ЛНР), которых планируют вывезти в Россию на фоне обострения ситуации в Донбассе. || Titre: Регионы России готовы принять беженцев из ДНР и ЛНР и оказать им помощь | URL: https://tass.ru/obschestvo/13761433","Врио губернатора Ярославской области Михаил Евраев отметил, что регион окажет гуманитарную помощь беженцам из Донецкой и Луганской народных республик. || Titre: Регионы России готовы принять эвакуированных с Донбасса и предоставить помощь | URL: https://tass.ru/obschestvo/13767219","Он также добавил, что в рамках ближайшей региональной депутатской недели намерен посетить места размещения и ""оказать посильную поддержку беженцам"". || Titre: Воронежская область готова принять 4,5 тыс. беженцев из ДНР и ЛНР | URL: https://tass.ru/obschestvo/13766725"
Refugies,target = objet → verbe,оказываться,14,"Как подчеркивают польские власти, помощь оказывается всем приезжающим в Польшу беженцам вне зависимости от национальной принадлежности. || Titre: Более 600 тысяч беженцев прибыли в Польшу с Украины с 24 февраля | URL: https://tass.ru/obschestvo/13954187","Как подчеркивают польские власти, помощь оказывается всем приезжающим в Польшу беженцам вне зависимости от национальной принадлежности. || Titre: Более 575 тыс. беженцев прибыли в Польшу с Украины с 24 февраля | URL: https://tass.ru/mezhdunarodnaya-panorama/13944571","Как подчеркивают польские власти, помощь оказывается всем приезжающим в Польшу беженцам вне зависимости от национальной принадлежности. || Titre: Более 670 тыс. беженцев прибыли в Польшу с Украины с 24 февраля | URL: https://tass.ru/mezhdunarodnaya-panorama/13960265"
Refugies,target = objet → verbe,разместить,8,"Председатель областного правительства Алексей Алсуфьев уточнил, что регион готов разместить беженцев в учреждениях социальной защиты, пунктах временного пребывания граждан. || Titre: Архангельская область готова принять 300 беженцев из ЛНР и ДНР | URL: https://tass.ru/obschestvo/13766051","Краснодарский край со всем кубанским радушием и гостеприимством готов принять и разместить беженцев из этих республик в нашем регионе, оказать им всяческую поддержку"", - сказал Кондратьев. || Titre: Краснодарский край готов принять и разместить эвакуированных из ДНР и ЛНР мирных жителей | URL: https://tass.ru/obschestvo/13765505","Наша область готова принять и разместить беженцев из этих республик, оказать им всяческую поддержку. || Titre: Губернатор ЕАО поручил подготовить пункты временного размещения для беженцев из Донбасса | URL: https://tass.ru/obschestvo/13771807"
Refugies,target = objet → verbe,помогать,8,"Со своей стороны Попеску подчеркнул, что ""власти Молдавии продолжат помогать беженцам с Украины, которые находятся на территории страны или пересекают ее транзитом"", но попросил ЕС о помощи, так как республика с трудом справляется с этим потоком. || Titre: ЕС примет 2,5 тыс. из почти 100 тыс. находящихся в Молдавии украинских беженцев | URL: https://tass.ru/mezhdunarodnaya-panorama/14049037","Губернатор отметил, что в Севастополе беженцам помогают решить проблемы с оформлением документов, устройством детей в школы, поиском жилья. || Titre: В Севастополе находятся около 10 тыс. беженцев из Донбасса и с Украины | URL: https://tass.ru/obschestvo/14263191","Работа мобильного пункта помощи РКК позволит оперативно помогать беженцам и переселенцам сразу после того, как они пересекли российскую границу. || Titre: РКК открыл первый мобильный пункт помощи переселенцам из Донбасса и с Украины | URL: https://tass.ru/obschestvo/15254469"
Refugies,target = objet → verbe,оказывать,7,"/ТАСС/. Россия оказывает всю необходимую помощь беженцам из Донецкой и Луганской народных республик, партия ""Единая Россия"" активно принимает участие в работе совместно с благотворительными фондами и волонтерскими организациями. || Titre: В Госдуме заявили, что единороссы и волонтеры оказывают помощь беженцам из ДНР и ЛНР | URL: https://tass.ru/politika/13767933","Первая группа волонтеров из 30 человек начала оказывать психологическую и консультационную помощь прибывающим беженцам. || Titre: Волонтерский штаб ""Мы вместе"" в Ростове-на-Дону начал оказывать помощь жителям Донбасса | URL: https://tass.ru/obschestvo/13774587",Материальную помощь беженцам оказывает и казачество. || Titre: Сочинцы отправили более 15 тонн гуманитарной помощи беженцам из ДНР и ЛНР | URL: https://tass.ru/obschestvo/13931689
Refugies,target = objet → verbe,предложить,7,"Ранее глава региона Сергей Аксенов заявлял, что в Крыму будут рады предложить беженцам работу - на полуострове дефицит кадров также в сфере строительства. || Titre: В Крыму упростят трудоустройство переселенцев из Донбасса и с Украины | URL: https://tass.ru/obschestvo/14230209","Власти Крыма ранее сообщали, что предложат беженцам с Украины вакансии в центрах ""Мои документы"" на территории республики. || Titre: В Крым после начала спецоперации прибыли более 34 тыс. украинских беженцев | URL: https://tass.ru/obschestvo/14271355","Власти Крыма ранее сообщали, что предложат беженцам с Украины вакансии в центрах ""Мои документы"" на территории республики. || Titre: В Крыму откроют второй в РФ центр для выплат украинским беженцам и жителям Донбасса | URL: https://tass.ru/obschestvo/14314581"
Refugies,target = objet → verbe,обеспечить,6,"""Также президент РФ поручил правительству России срочно обеспечить выплату каждому прибывающему в область из Донбасса беженцу в 10 тыс. рублей"", - добавил пресс-секретарь. || Titre: Путин поручил обеспечить выплаты по 10 тыс. руб. беженцам из Донбасса в Ростовской области | URL: https://tass.ru/obschestvo/13759323",/ТАСС/. Президент Белоруссии Александр Лукашенко поставил перед руководством Гомельской и Брестской областей задачу обеспечить всем необходимым прибывающих с Украины беженцев. || Titre: Лукашенко распорядился обеспечить всем необходимым беженцев с Украины | URL: https://tass.ru/mezhdunarodnaya-panorama/14020679,"Зампред уточнил, что с начала марта на Камчатку прибыли более 60 беженцев, 43 человека остановились у родственников, 21 беженцу обеспечили жилье работодатели. || Titre: На Камчатку прибыли первые 13 эвакуированных жителей ДНР и ЛНР | URL: https://tass.ru/obschestvo/14473071"
Refugies,target = objet → verbe,регистрировать,5,"16 марта региональные власти начнут регистрировать прибывших в республику беженцев. || Titre: Более 1,7 млн беженцев прибыли в Польшу с Украины с 24 февраля | URL: https://tass.ru/obschestvo/14056989","16 марта региональные власти начнут регистрировать прибывших в республику беженцев. || Titre: Около 1,8 млн беженцев прибыли в Польшу с Украины | URL: https://tass.ru/mezhdunarodnaya-panorama/14064035","Две недели назад власти Польши начали регистрировать беженцев, которые решили остаться в Польше. || Titre: Около 1,7-1,8 млн беженцев с Украины остались в Польше | URL: https://tass.ru/obschestvo/14205985"
Refugies,target = objet → verbe,передать,4,"А затем они передадут это все беженцам, которые пересекают границу России"", - сказал Левит. || Titre: Москвичи начали приносить продукты в пункты сбора для эвакуированных из Донбасса | URL: https://tass.ru/obschestvo/13802335","В России церковь собрала и передала более 860 тонн гуманитарной помощи беженцам и пострадавшим мирным жителям в зоне конфликта, из них более 465 тонн было направлено в Донецкую, Луганскую, Горловскую, Северодонецкую, Харьковскую, Херсонскую и Запорожскую епархии. || Titre: РПЦ объявила о наборе добровольцев в штаб помощи беженцам в Москве | URL: https://tass.ru/obschestvo/14430035","Волонтеры Национального центра помощи пропавшим и пострадавшим детям и сотрудники МЧС России передали беженцам, прибывшим с территории Украины и Донбасса и находящимся в пункте временного размещения в Ростовской области, партию гуманитарной помощи. || Titre: МЧС и центр помощи детям передали беженцам в Ростове-на-Дону гуманитарную помощь | URL: https://tass.ru/obschestvo/15449499"
Refugies,target = objet → verbe,прибыть,4,"Как ранее сообщал губернатор Подмосковья Андрей Воробьев, 22 февраля в Подмосковье должны прибыть около 1,5 тыс. беженцев из ДНР и ЛНР. || Titre: Поезд с эвакуированными жителями Донбасса прибыл в Наро-Фоминск | URL: https://tass.ru/obschestvo/13798449","/ТАСС/. Управление верховного комиссара ООН по делам беженцев (УВКБ) подсчитало, что с 24 февраля по 9 августа 2022 года в страны Европы прибыли в общей сложности более 6,4 млн беженцев с Украины. || Titre: В ООН сообщили, что в страны Европы прибыли более 6,3 млн беженцев с Украины | URL: https://tass.ru/obschestvo/15431229","Согласно опубликованной в среду УВКБ статистической информации, с 24 февраля 2022 года по 21 февраля 2023 года в страны Европы прибыли в общей сложности 8 087 952 беженца с Украины. || Titre: В ООН заявили, что около 77% беженцев с Украины намерены вернуться на родину | URL: https://tass.ru/obschestvo/17130347"
Refugies,target = objet → verbe,позволить,4,"В парламенте Польши завершается работа над специальным законом, который позволит беженцам с Украины легально жить и работать в Польше до трех лет, получая медицинскую помощь, социальные пособия, а также возможность отдать детей в образовательные учреждения. || Titre: Власти Польши 16 марта начнут регистрировать желающих остаться в стране беженцев с Украины | URL: https://tass.ru/mezhdunarodnaya-panorama/14051143","В Польше вступил в силу специальный закон, который позволит беженцам с Украины легально жить и работать в стране до трех лет, получая медицинскую помощь, социальные пособия, а также возможность отдать детей в образовательные учреждения. || Titre: Более 1,7 млн беженцев прибыли в Польшу с Украины с 24 февраля | URL: https://tass.ru/obschestvo/14056989","В Польше вступил в силу специальный закон, который позволит беженцам с Украины легально жить и работать в стране до трех лет, получая медицинскую помощь, социальные пособия, а также возможность отдать детей в образовательные учреждения. || Titre: Около 1,8 млн беженцев прибыли в Польшу с Украины | URL: https://tass.ru/mezhdunarodnaya-panorama/14064035"
Refugies,target = objet → verbe,пересечь,4,"В Минтруда Крыма в понедельник сообщали, что с начала спецоперации границу Украины с Россией в Крыму пересекли более 34 тыс. беженцев, трудоустроиться на полуострове согласились 12 человек. || Titre: В Крыму откроют второй в РФ центр для выплат украинским беженцам и жителям Донбасса | URL: https://tass.ru/obschestvo/14314581","""По последним данным, границу с РФ пересекли более 2,1 млн беженцев, включая 340 тыс. детей"", - сказал собеседник агентства. || Titre: В Россию с Украины и из Донбасса прибыли более 2,1 млн беженцев | URL: https://tass.ru/politika/15039887","""По данным на утро понедельника, границу с РФ пересекли более 2,6 млн беженцев, включая 422 тыс. детей. || Titre: Число прибывших в РФ с территории Украины и Донбасса беженцев превысило 2,6 млн человек | URL: https://tass.ru/obschestvo/15240909"
Refugies,target = objet → verbe,выдавать,3,/ТАСС/. Выплаты по 10 тыс. рублей начали выдавать беженцам из Донецкой и Луганской народных республик. || Titre: Беженцы из Донбасса начали получать выплаты по 10 тыс. рублей | URL: https://tass.ru/ekonomika/13770279,Неподалеку от театра в офисе одного из сотовых операторов беженцам выдают sim-карты. || Titre: Пункт регистрации в Горисе продолжает принимать беженцев из Карабаха | URL: https://tass.ru/mezhdunarodnaya-panorama/18843705,"Ранее в субботу сообщалось, что выплаты по 10 тыс. рублей начали выдавать беженцам из ДНР и ЛНР. || Titre: Выездные банковские офисы организованы в Ростовской области для выплат жителям ДНР и ЛНР | URL: https://tass.ru/ekonomika/13770699"
Refugies,target = objet → verbe,помочь,3,"Я благодарен каждому, кто вызвался помочь беженцам Донбасса"", - приводятся в сообщении слова губернатора Ленинградской области Александра Дрозденко. || Titre: В регионах России начали сбор гуманитарной помощи для эвакуированных из Донбасса | URL: https://tass.ru/obschestvo/13775657","Но градус спал, потому что меньше людей приезжают. — Хорошо, если я хочу помочь беженцам, разобрав свои вещи, что сейчас, осенью-2023, самое нужное? || Titre: Глава фонда ""Второе дыхание"": идея, что беженцы обустроились и помощь не нужна, — неверная | URL: https://tass.ru/interviews/18752131","Ранее источник в силовых структурах ДНР сообщил ТАСС, что войска РФ помогли двоим беженцам из Авдеевки - отцу и сыну. || Titre: Беженец рассказал, что ВСУ препятствуют эвакуации оставшейся части населения из Авдеевки | URL: https://tass.ru/obschestvo/19968297"
Refugies,target = objet → verbe,предоставляться,3,"По словам эксперта тематической площадки Общероссийского народного фронта ""Жилье и городская среда"" Павла Склянчука, жилье беженцам или вынужденным переселенцам в России предоставляется на условиях социального найма. || Titre: Минстрой допустил вход эвакуированных из Донбасса в жилпрограмму вынужденных переселенцев | URL: https://tass.ru/nedvizhimost/13838077","По его словам, срок подачи заявки не имеет значения, так как социальная и медицинская помощь предоставляется беженцам с дня пересечения границы. || Titre: Власти Польши 16 марта начнут регистрировать желающих остаться в стране беженцев с Украины | URL: https://tass.ru/mezhdunarodnaya-panorama/14051143","Также по решению правительства РФ беженцам предоставляется единовременная материальная помощь в размере 10 тыс. рублей на человека. || Titre: Число прибывших в РФ беженцев с территории Украины и Донбасса превысило 2,7 млн | URL: https://tass.ru/obschestvo/15260723"
Refugies,target = objet → verbe,встречать,3,"Мы готовы даже встречать [беженцев] при необходимости, если будут приезжать из других регионов. || Titre: Власти приграничных районов Крыма сообщили, что оттока жителей не наблюдают | URL: https://tass.ru/obschestvo/13829561","Он напомнил, что с первых дней волонтеры от партии ""встречают беженцев на границе, обеспечивают их всем необходимым в пунктах временного размещения в 15 регионах, занимаются распределением гуманитарной помощи"". || Titre: Границу России пересекли уже более 132 тыс. эвакуированных жителей Донбасса | URL: https://tass.ru/obschestvo/13932163","Потом придут те, кто будет встречать беженцев из Мариуполя до утра. || Titre: ""10 километров мимо неразорвавшихся мин"". | URL: https://tass.ru/v-strane/14340553"
Refugies,target = objet → verbe,отправить,3,"""На часть этих средств было закуплено в Москве и отправлено (беженцам из ДНР и ЛНР - прим. ТАСС) в Ростовскую область 30 тонн гуманитарной помощи (крупы, консервы, макаронные изделия)"", - говорится в сообщении. || Titre: Жители Камчатки перечислили почти 7,5 млн рублей в помощь беженцам из ДНР и ЛНР | URL: https://tass.ru/obschestvo/14372431",Белгородская область отправила более 1 тыс. беженцев с Украины в другие регионы России. || Titre: Более 1 тыс. беженцев отправили из Белгородской области в другие регионы России | URL: https://tass.ru/obschestvo/15743333,"Или наоборот — сдают белый плащ, дорогой, почти не ношеный, но мы не отправим его беженцам, потому что для него нужна химчистка. || Titre: Глава фонда ""Второе дыхание"": идея, что беженцы обустроились и помощь не нужна, — неверная | URL: https://tass.ru/interviews/18752131"
Refugies,target = objet → verbe,направить,2,"В Тульской области губернатор Алексей Дюмин поручил направить гуманитарную помощь беженцам из Донбасса, сообщили в региональном правительстве. || Titre: Регионы России готовы принять беженцев из ДНР и ЛНР и оказать им помощь | URL: https://tass.ru/obschestvo/13761433","Отмечается, что из Подмосковья беженцам направили 5 тонн гуманитарного груза. || Titre: Единороссы отправили гумпомощь в Ростовскую и Воронежскую области для жителей Донбасса | URL: https://tass.ru/obschestvo/13784343",
Refugies,target = objet → verbe,организовать,2,"""Вы знаете, президент [РФ] поручил правительству организовать выплаты 10 тыс. рублей каждому беженцу. || Titre: Песков: эвакуация населения Донбасса вызвана агрессией и провокациями военных Украины | URL: https://tass.ru/politika/13780417","Церковный штаб адресной помощи беженцам организовал Синодальный отдел по благотворительности. || Titre: ""Люди потерянные и не знают, с чего начать"". | URL: https://tass.ru/obschestvo/14299577",
Refugies,target = objet → verbe,поддержать,2,"Также готовимся к тому, чтобы в случае необходимости мы могли принять и поддержать беженцев, поскольку поезда продолжают приходить"", - уточнил глава Воронежа. || Titre: Более 600 жителей ДНР и ЛНР разместили в четырех пунктах временного размещения в Воронеже | URL: https://tass.ru/obschestvo/13778235","""Москвичи передали более 23 тыс. разнообразных товаров и свыше двух тонн продуктов, чтобы поддержать беженцев из Донецкой и Луганской народных республик. || Titre: Жители Москвы передали более 2 тонн продуктов эвакуированным из Донецка и Луганска | URL: https://tass.ru/obschestvo/13835831",
Refugies,target = objet → verbe,приветствовать,2,/ТАСС/. Евросоюз приветствует беженцев с Украины и примет все усилия для поддержки принимающих их стран. || Titre: Евросоюз приветствует беженцев с Украины | URL: https://tass.ru/mezhdunarodnaya-panorama/13888099,"/ТАСС/. Американская администрация заявляет, что приветствовала бы беженцев с Украины, однако пока не предлагает таким лицам никакой упрощенной процедуры въезда в Соединенные Штаты. || Titre: США заявляют, что приветствовали бы беженцев с Украины, но не дают упрощенной схемы въезда | URL: https://tass.ru/mezhdunarodnaya-panorama/14082065",
Benevoles,target = objet → verbe,направить,2,"Кроме того, планируется направить волонтеров в Ростовскую область. || Titre: В регионах России начали сбор гуманитарной помощи для эвакуированных из Донбасса | URL: https://tass.ru/obschestvo/13775657","/ТАСС/. ЛДПР направит волонтеров и развернет мобильные штабы в Белгородской области для оказания помощи беженцам, прибывающим на территорию РФ из Харьковской области. || Titre: ЛДПР развернет в Белгородской области штабы для помощи беженцам | URL: https://tass.ru/obschestvo/15718479",
Benevoles,target = objet → verbe,поблагодарить,2,"Он также поблагодарил волонтеров со всей страны и бизнес, ""который оперативно откликается и предоставляет гуманитарную помощь"". || Titre: Волонтерский штаб ""Мы вместе"" в Ростове-на-Дону начал оказывать помощь жителям Донбасса | URL: https://tass.ru/obschestvo/13774587","Вячеслав Гладков поблагодарил волонтеров, которые оказывают помощь переселенцам. || Titre: Около 550 беженцев отправили из Белгородской области в Воронеж и Сызрань | URL: https://tass.ru/obschestvo/15722395",
