target,type,token,freq,example_1,example_2,example_3
Refugies,target = sujet → verbe,прибыть,44,"Чеченское отделение партии, при поддержке Регионального общественного фонда имени Героя России, первого президента Чеченской Республики Ахмата-Хаджи Кадырова, направит продовольственную помощь в Ростовскую область, куда прибыли первые беженцы"", - приводит пресс-служба слова председателя парламента региона и секретаря чеченского отделения партии Магомеда Даудова. || Titre: Чечня направит продовольственную помощь в Ростовскую область для беженцев из Донбасса | URL: https://tass.ru/obschestvo/13776685","Как сообщил журналистам руководитель пресс-службы ГУ МЧС по Воронежской области Сергей Хренов, в третьем поезде в регион прибыл 521 беженец - женщины, дети, мужчины пожилого возраста, Всего в Воронежской области создали 42 пункта временного размещения для приема 4,5 тыс. жителей ДНР и ЛНР, при необходимости власти региона увеличат число ПВР. || Titre: Третий поезд доставил в Воронеж около 500 эвакуированных из Донбасса жителей | URL: https://tass.ru/obschestvo/13776267","Ранее в понедельник в МВД ФРГ сообщили, что в Германию в последние дни прибыли около 1 800 беженцев из зоны конфликта. || Titre: Глава МИД ФРГ заявила о готовности принять в ЕС всех беженцев с Украины | URL: https://tass.ru/obschestvo/13899563"
Refugies,target = sujet → verbe,прибывать,10,"По его словам, в ближайшие дни в регион начнут прибывать беженцы из Донецка и Луганска, готовятся места временного пребывания. || Titre: В регионах России начали сбор гуманитарной помощи для эвакуированных из Донбасса | URL: https://tass.ru/obschestvo/13775657","""В Подмосковье продолжают прибывать беженцы из ДНР и ЛНР. || Titre: Эвакуированные дети из ДНР и ЛНР могут пойти в школы Подмосковья на следующей неделе | URL: https://tass.ru/obschestvo/13847071","В настоящий момент беженцы из ДНР и ЛНР на Камчатку организованными группами не прибывали. || Titre: Жители Камчатки пожертвовали больше 1,8 млн рублей для беженцев из ДНР и ЛНР | URL: https://tass.ru/obschestvo/14018249"
Refugies,target = sujet → verbe,мочь,9,"Замглавы МЧС России Виктор Яцуценко в субботу заявил, что беженцы из Донбасса могут быть направлены еще в семь регионов: Краснодарский край, Курскую, Воронежскую, Белгородскую, Орловскую, Брянскую, Московскую области. || Titre: Регионы России готовы принять эвакуированных с Донбасса и предоставить помощь | URL: https://tass.ru/obschestvo/13767219","Городок жизнеобеспечения состоит из больших надувных модулей, где беженцы могу отдохнуть в ожидании автобусов, которые их доставляют в стационарные пункты временного размещения. || Titre: Чуприян заверил беженцев из Донбасса, что МЧС РФ окажет им всю необходимую помощь | URL: https://tass.ru/obschestvo/13766945","Ранее замглавы МЧС России Виктор Яцуценко сообщил, что беженцев из Донбасса могут направить еще в семь регионов, помимо Ростовской области. || Titre: Гуманитарную помощь беженцам из ЛНР и ДНР отправили из Нижегородской области | URL: https://tass.ru/obschestvo/13765875"
Refugies,target = sujet → verbe,находиться,9,"""На территории страны уже находятся беженцы из ДНР и ЛНР. || Titre: Тульская область готова принять для размещения около 500 детей из ДНР и ЛНР | URL: https://tass.ru/obschestvo/13766405","""В 125 пунктах временного размещения в Ростовской области на утро 23 февраля находились свыше 6,8 тысячи беженцев, из них более 3,4 тысячи - дети. || Titre: Более 11 тыс. эвакуированных из Донбасса отправились в 12 регионов из Ростовской области | URL: https://tass.ru/obschestvo/13816305","Также он сообщил, что в пунктах временного размещения в Крыму находятся порядка 700 беженцев, почти половина из них - это дети. || Titre: В Крым после начала спецоперации прибыли более 34 тыс. украинских беженцев | URL: https://tass.ru/obschestvo/14271355"
Refugies,target = sujet → verbe,отправляться,6,"Некоторые беженцы из третьих стран, в частности иностранные студенты, после прибытия в республику отправляются в свои государства. || Titre: Более 787 тыс. беженцев прибыли в Польшу с Украины с 24 февраля | URL: https://tass.ru/obschestvo/13974837","Некоторые беженцы из третьих стран, в частности иностранные студенты, после прибытия в республику отправляются в свои государства. || Titre: Более 1 млн беженцев прибыли в Польшу с Украины с 24 февраля | URL: https://tass.ru/mezhdunarodnaya-panorama/13989269","Некоторые беженцы из третьих стран, в частности иностранные студенты, после прибытия в республику отправляются в свои государства. || Titre: Более 922 тыс. беженцев прибыли в Польшу с Украины с 24 февраля | URL: https://tass.ru/mezhdunarodnaya-panorama/13985791"
Refugies,target = sujet → verbe,обеспечить,5,"В пресс-службе отметили, что беженцы обеспечены горячим питанием, предметами первой необходимости, а также медицинской помощью. || Titre: Около 6,5 тыс. жителей Донбасса находятся в ПВР в Ростовской области | URL: https://tass.ru/obschestvo/13772595","Как сообщается, беженцы будут обеспечены горячим питанием, коммунально-бытовыми услугами, предметами первой необходимости, а также транспортным, медицинским, психологическим и информационным сопровождением. || Titre: Ингушетия готова принять 300 вынужденных переселенцев из ДНР и ЛНР | URL: https://tass.ru/obschestvo/13900259","Плаксин отметил, что беженцы из Донбасса, проживающие в пунктах временного размещения региона, полностью обеспечены всем необходимым. || Titre: Более 30 тонн помощи собрали для эвакуированных из Донбасса в Волгоградской области | URL: https://tass.ru/obschestvo/14122765"
Refugies,target = sujet → verbe,сдавать,4,"/ТАСС/. Беженцы, прибывающие в Ростовскую область с территории Донецкой и Луганской народных республик, будут сдавать тесты на коронавирус в местах проживания, а не на границе. || Titre: Попова заявила, что беженцев из Донбасса будут тестировать на ковид в местах проживания | URL: https://tass.ru/obschestvo/13763743","Накануне глава Роспотребнадзора Анна Попова сообщила, что беженцы, прибывающие в Ростовскую область с территории Донецкой и Луганской народных республик, будут сдавать тесты на коронавирус в местах проживания, а не на границе. || Titre: Систему здравоохранения Ростовской области перевели на повышенный режим работы | URL: https://tass.ru/obschestvo/13765249","Накануне Попова сообщила, что беженцы, прибывающие в Ростовскую область с территории Донецкой и Луганской народных республик, будут сдавать тесты на коронавирус в местах проживания, а не на границе. || Titre: Порядка 2,3 млн тест-систем на коронавирус поставят в Ростовскую область в ближайшее время | URL: https://tass.ru/obschestvo/13765435"
Refugies,target = sujet → verbe,смочь,4,"/ТАСС/. Американское руководство рассчитывает, что украинские беженцы, оказавшиеся в США, смогут как можно скорее вернуться домой. || Titre: Госдеп рассчитывает, что украинские беженцы как можно скорее покинут США | URL: https://tass.ru/mezhdunarodnaya-panorama/14443245",/ТАСС/. Беженцы с Украины смогут оставаться на территории Молдавии еще 90 дней после завершения режима чрезвычайного положения. || Titre: Молдавия ввела облегченный миграционный режим для беженцев | URL: https://tass.ru/mezhdunarodnaya-panorama/15034501,"Прием будет вестись очно, а обратиться смогут беженцы, вынужденные переселенцы, мигранты и лица без гражданства из любой страны мира"", - говорится в сообщении. || Titre: РКК открыл в Москве общественную приемную для помощи беженцам и мигрантам | URL: https://tass.ru/obschestvo/16315333"
Refugies,target = sujet → verbe,проживать,4,"В пансионате ""Царицыно озеро"" сейчас проживают почти 500 беженцев с Украины и Донбасса. || Titre: В Ленобласти беженцам из ДНР и ЛНР выдали первые свидетельства об официальном статусе | URL: https://tass.ru/obschestvo/14490399","/ТАСС/. Порядка 200 беженцев из Артемовска (украинское название Бахмут) проживают в пункте временного размещения (ПВР) в городе Шахтерске в Донецкой Народной Республике, где вынужденным переселенцам оказывают всю необходимую гуманитарную, медицинскую и психологическую помощь, передает корреспондент ТАСС с места событий. || Titre: В Шахтерске ежедневно принимают до 100 переселенцев из Артемовска | URL: https://tass.ru/obschestvo/17806885","Белецкая уточнила, что в населенном пункте проживают 77 переселенцев - беженцев из ДНР и Харьковской области. || Titre: Народный фронт доставил 13 тонн помощи беженцам из ДНР и Харьковской области | URL: https://tass.ru/obschestvo/19092623"
Refugies,target = sujet → verbe,включить,4,"В остальных государствах это число не превышает 100 тыс. 3 781 495 прибывших беженцев были включены в Европе в национальные программы временной защиты и поддержки. || Titre: В ООН сообщили, что в страны Европы прибыли более 6,3 млн беженцев с Украины | URL: https://tass.ru/obschestvo/15431229","В остальных государствах это число не превышает 100 тыс. В национальные программы временной защиты и поддержки включены 4 863 513 беженцев. || Titre: С начала СВО в страны Европы прибыли более 8,08 млн беженцев с Украины | URL: https://tass.ru/obschestvo/17122773","В национальные программы защиты и поддержки включены 4 863 513 беженцев. || Titre: В ООН заявили, что около 77% беженцев с Украины намерены вернуться на родину | URL: https://tass.ru/obschestvo/17130347"
