cible,co_word,example_id,excerpt,title,url
Refugies,помощь,1,"по сбору и распределению гуманитарной помощи , встрече беженцев с Донбасса , организации условий проживания и психологической","Волонтеры развернули штаб ""Мы вместе"" для помощи прибывшим из ДНР и ЛНР гражданам",https://tass.ru/obschestvo/13763103
Refugies,помощь,2,", вылетевшая в Ростовскую область для организации помощи беженцам из Донбасса , особое внимание уделит организации безопасного",Роспотребнадзор уделит особое внимание организации питания беженцев в Ростовской области,https://tass.ru/obschestvo/13762457
Refugies,помощь,3,"40 тонн гуманитарной помощи в Ростовскую область для беженцев с Донбасса , два грузовика повезут продовольствие и",Нижегородская область направит 40 тонн гуманитарной помощи беженцам с Донбасса,https://tass.ru/obschestvo/13762337
Refugies,помощь,4,регионов России высказали готовность принять и оказать помощь беженцам из Донецкой и Луганской народных республик ( ДНР,Регионы России готовы принять беженцев из ДНР и ЛНР и оказать им помощь,https://tass.ru/obschestvo/13761433
Refugies,помощь,5,"области губернатор Алексей Дюмин поручил направить гуманитарную помощь беженцам из Донбасса , сообщили в региональном правительстве .",Регионы России готовы принять беженцев из ДНР и ЛНР и оказать им помощь,https://tass.ru/obschestvo/13761433
Refugies,донбасс,1,"по сбору и распределению гуманитарной помощи , встрече беженцев с Донбасса , организации условий проживания и психологической","Волонтеры развернули штаб ""Мы вместе"" для помощи прибывшим из ДНР и ЛНР гражданам",https://tass.ru/obschestvo/13763103
Refugies,донбасс,2,", вылетевшая в Ростовскую область для организации помощи беженцам из Донбасса , особое внимание уделит организации безопасного",Роспотребнадзор уделит особое внимание организации питания беженцев в Ростовской области,https://tass.ru/obschestvo/13762457
Refugies,донбасс,3,"40 тонн гуманитарной помощи в Ростовскую область для беженцев с Донбасса , два грузовика повезут продовольствие и",Нижегородская область направит 40 тонн гуманитарной помощи беженцам с Донбасса,https://tass.ru/obschestvo/13762337
Refugies,донбасс,4,"области губернатор Алексей Дюмин поручил направить гуманитарную помощь беженцам из Донбасса , сообщили в региональном правительстве .",Регионы России готовы принять беженцев из ДНР и ЛНР и оказать им помощь,https://tass.ru/obschestvo/13761433
Refugies,донбасс,5,"Власти Пензенской области также заявили о готовности принять беженцев из Донбасса , сообщается в официальном Telegram -",Регионы России готовы принять беженцев из ДНР и ЛНР и оказать им помощь,https://tass.ru/obschestvo/13761433
Benevoles,февраль,1,"МОСКВА , 19 февраля . /ТАСС/. Волонтеры Общероссийского народного фронта ( ОНФ ) , Всероссийского","Волонтеры развернули штаб ""Мы вместе"" для помощи прибывшим из ДНР и ЛНР гражданам",https://tass.ru/obschestvo/13763103
Benevoles,февраль,2,"СИМФЕРОПОЛЬ , 20 февраля . /ТАСС/. Депутаты и волонтеры Крыма приступили к сбору первой партии гуманитарной помощи",В Крыму начали сбор гуманитарной помощи для жителей Донбасса,https://tass.ru/obschestvo/13773587
Benevoles,февраль,3,"ДОНУ , 20 февраля . /ТАСС/. Студенты - волонтеры в Ростовской области будут проводить занятия с эвакуированными",В Ростовской и Воронежской областях организуют обучение эвакуированных из Донбасса детей,https://tass.ru/obschestvo/13772735
Benevoles,февраль,4,"ДОНУ , 21 февраля . /ТАСС/. Более 800 волонтеров в Ростовской области оказывают помощь в работе с",В Ростовской области более 800 волонтеров помогают эвакуированным жителям Донбасса,https://tass.ru/obschestvo/13787549
Benevoles,февраль,5,"ЛИПЕЦК , 22 февраля . /ТАСС/. Свыше 200 волонтеров и спасателей помогают жителям Донбасса , временно приехавшим","Свыше 200 волонтеров и спасателей помогают жителям Донбасса, приехавшим в Липецкую область",https://tass.ru/obschestvo/13807257
Benevoles,человек,1,"возможное , чтобы облегчить судьбу людей "" . Волонтеры также готовы оказать психологическую и социальную поддержку вынужденным","Волонтеры развернули штаб ""Мы вместе"" для помощи прибывшим из ДНР и ЛНР гражданам",https://tass.ru/obschestvo/13763103
Benevoles,человек,2,"эвакуированных . 
 Помимо медиков , людям помогают волонтеры - расселяют , приносят теплые одеяла и просто",Воронеж начал принимать эвакуированных жителей ДНР и ЛНР,https://tass.ru/obschestvo/13776141
Benevoles,человек,3,", которые видишь в глазах . Первая группа волонтеров из 30 человек начала оказывать психологическую и консультационную","Волонтерский штаб ""Мы вместе"" в Ростове-на-Дону начал оказывать помощь жителям Донбасса",https://tass.ru/obschestvo/13774587
Benevoles,человек,4,", что , кроме 800 задействованных в работе волонтеров , еще 400 человек зарегистрировались в резерв добровольцев",В Ростовской области более 800 волонтеров помогают эвакуированным жителям Донбасса,https://tass.ru/obschestvo/13787549
Benevoles,человек,5,", по ее словам , во время дороги волонтеры успели опросить людей о том , что для",Эвакуированных жителей Донбасса разместили в пунктах пребывания в Подмосковье,https://tass.ru/obschestvo/13813037
Benevoles,готовый,1,"возможное , чтобы облегчить судьбу людей "" . Волонтеры также готовы оказать психологическую и социальную поддержку вынужденным","Волонтеры развернули штаб ""Мы вместе"" для помощи прибывшим из ДНР и ЛНР гражданам",https://tass.ru/obschestvo/13763103
Benevoles,готовый,2,"жители [ Ростовской ] области : готовы работать волонтерами , передают вещи и все необходимое для комфортного",Жители Ростовской области оказывают помощь эвакуированным из ЛНР и ДНР,https://tass.ru/obschestvo/13766969
Benevoles,готовый,3,", со всех 85 регионов нашей страны откликнулись волонтеры , готовые присоединиться к оказанию помощи . Добровольцы",В Ростовской области более 800 волонтеров помогают эвакуированным жителям Донбасса,https://tass.ru/obschestvo/13787549
Benevoles,готовый,4,"сим - карты . < … > Наши волонтеры , наши предприниматели готовы оказать посильную помощь """,Эвакуированных жителей Донбасса разместили в пунктах пребывания в Подмосковье,https://tass.ru/obschestvo/13813037
Benevoles,готовый,5,"говорится в сообщении . 
 Как сообщается , волонтеры также готовы консультировать по телефону жителей республики по",В Ингушетии открыли пункт приема гуманитарной помощи для эвакуированных жителей Донбасса,https://tass.ru/obschestvo/13812891
Russie,территория,1,"вместе "" для оказания поддержки прибывающим на территорию России из Донецкой и Луганской народных республик ( ДНР","Волонтеры развернули штаб ""Мы вместе"" для помощи прибывшим из ДНР и ЛНР гражданам",https://tass.ru/obschestvo/13763103
Russie,территория,2,"ЛНР проинформировала , что пропуск эвакуируемых на территорию России жителей осуществляется по паспортам ЛНР , РФ или",Из Луганска в Россию отправился первый автобус с эвакуируемыми жителями,https://tass.ru/obschestvo/13762389
Russie,территория,3,Пушилин заявили об эвакуации жителей республик на территорию России в связи с нарастающей угрозой боевых действий .,Из Луганска в Россию отправился первый автобус с эвакуируемыми жителями,https://tass.ru/obschestvo/13762389
Russie,территория,4,"перевозки мирных жителей ЛНР и ДНР на территорию России "" , - приводятся в сообщении слова Никитина",Нижегородская область направит 40 тонн гуманитарной помощи беженцам с Донбасса,https://tass.ru/obschestvo/13762337
Russie,территория,5,"угрозой боевых действий , а также о готовности России принять на своей территории эвакуированных людей . Пушилин",Путин поручил обеспечить выплаты по 10 тыс. руб. беженцам из Донбасса в Ростовской области,https://tass.ru/obschestvo/13759323
Russie,республика,1,"после эвакуации из республики приняли решение остановиться в России не в пункте временного размещения , а у","Волонтер рассказал о помощи жителям ДНР, которые не едут в пункты временного размещения",https://tass.ru/obschestvo/13762975
Russie,республика,2,Пушилин заявили об эвакуации жителей республик на территорию России в связи с нарастающей угрозой боевых действий .,Из Луганска в Россию отправился первый автобус с эвакуируемыми жителями,https://tass.ru/obschestvo/13762389
Russie,республика,3,"МЧС ДНР сообщали , что планируется эвакуировать в Россию около 700 тысяч жителей республики . 
 По",Регионы России готовы принять беженцев из ДНР и ЛНР и оказать им помощь,https://tass.ru/obschestvo/13761433
Russie,республика,4,"Пушилин заявили об эвакуации жителей республик на территорию России , в частности в Ростовскую область , в",Пункты пропуска на границе с Украиной в Ростовской области работают в штатном режиме,https://tass.ru/obschestvo/13771211
Russie,республика,5,боевых действий заявили об эвакуации жителей республик в Россию . В субботу в республиках была объявлена всеобщая,"Волгоградская область готова принять 3,5 тыс. беженцев из ДНР и ЛНР",https://tass.ru/obschestvo/13770553
Russie,пункт,1,"после эвакуации из республики приняли решение остановиться в России не в пункте временного размещения , а у","Волонтер рассказал о помощи жителям ДНР, которые не едут в пункты временного размещения",https://tass.ru/obschestvo/13762975
Russie,пункт,2,"18 февраля . /ТАСС/. "" Молодая гвардия Единой России "" окажет помощь в пунктах временного размещения эвакуированным",МГЕР поможет с размещением беженцев из Донбасса,https://tass.ru/obschestvo/13759861
Russie,пункт,3,19 февраля . / ТАСС/. Врио главы МЧС России Александр Чуприян совершил облет пунктов пропуска и проверил,"Чуприян заверил беженцев из Донбасса, что МЧС РФ окажет им всю необходимую помощь",https://tass.ru/obschestvo/13766945
Russie,пункт,4,городка жизнеобеспечения развернуты силами Донского спасательного центра МЧС России в районе пунктов пропуска Весело - Вознесенка и,"Чуприян заверил беженцев из Донбасса, что МЧС РФ окажет им всю необходимую помощь",https://tass.ru/obschestvo/13766945
Russie,пункт,5,"МЧС ДНР . 
 К приему эвакуируемых в России готовы уже свыше 280 пунктов временного размещения ,",В Россию эвакуировали уже около 36 тыс. жителей Донбасса,https://tass.ru/obschestvo/13766621
Refugies,область,1,", вылетевшая в Ростовскую область для организации помощи беженцам из Донбасса , особое внимание уделит организации безопасного",Роспотребнадзор уделит особое внимание организации питания беженцев в Ростовской области,https://tass.ru/obschestvo/13762457
Refugies,область,2,"40 тонн гуманитарной помощи в Ростовскую область для беженцев с Донбасса , два грузовика повезут продовольствие и",Нижегородская область направит 40 тонн гуманитарной помощи беженцам с Донбасса,https://tass.ru/obschestvo/13762337
Refugies,область,3,"доставят груз в Ростовскую область , куда везут беженцев из ДНР и ЛНР . Также Нижегородская область",Нижегородская область направит 40 тонн гуманитарной помощи беженцам с Донбасса,https://tass.ru/obschestvo/13762337
Refugies,область,4,", что готовы разместить у себя в регионе беженцев . "" Оперативно Челябинская область , то есть",Регионы России готовы принять беженцев из ДНР и ЛНР и оказать им помощь,https://tass.ru/obschestvo/13761433
Refugies,область,5,"по 10 тыс. рублей . В первую очередь беженцев готовы принять в Ростовской области , граничащей с",Регионы России готовы принять беженцев из ДНР и ЛНР и оказать им помощь,https://tass.ru/obschestvo/13761433
Refugies,поручение,1,"центра . По поручению президента РФ Владимира Путина беженцам , прибывающим в регион , выплатят по 10",Роспотребнадзор уделит особое внимание организации питания беженцев в Ростовской области,https://tass.ru/obschestvo/13762457
Refugies,поручение,2,". 
 По поручению президента РФ Владимира Путина беженцам , прибывающим в регион , выплатят по 10",Регионы России готовы принять беженцев из ДНР и ЛНР и оказать им помощь,https://tass.ru/obschestvo/13761433
Refugies,поручение,3,"разместить людей из Донбасса . По поручению Путина беженцам , прибывающим в российский регион , выплатят по",Пункты пропуска на границе с Украиной в Ростовской области работают в штатном режиме,https://tass.ru/obschestvo/13771211
Refugies,поручение,4,"действий . По поручению президента РФ Владимира Путина беженцам , прибывающим в российский регион , выплатят по",В Дагестане организовали сбор гуманитарной помощи для беженцев из Донбасса,https://tass.ru/obschestvo/13770453
Refugies,поручение,5,в МЧС России официальное подтверждение своей готовности принять беженцев . По поручению губернатора социальная служба обеспечит прибывших,В Оренбургской области сформируют перечень вакансий для беженцев из ЛНР и ДНР,https://tass.ru/obschestvo/13768435
Refugies,президент,1,"центра . По поручению президента РФ Владимира Путина беженцам , прибывающим в регион , выплатят по 10",Роспотребнадзор уделит особое внимание организации питания беженцев в Ростовской области,https://tass.ru/obschestvo/13762457
Refugies,президент,2,". 
 По поручению президента РФ Владимира Путина беженцам , прибывающим в регион , выплатят по 10",Регионы России готовы принять беженцев из ДНР и ЛНР и оказать им помощь,https://tass.ru/obschestvo/13761433
Refugies,президент,3,"действий . По поручению президента РФ Владимира Путина беженцам , прибывающим в российский регион , выплатят по",В Дагестане организовали сбор гуманитарной помощи для беженцев из Донбасса,https://tass.ru/obschestvo/13770453
Refugies,президент,4,"Донбасса . По поручению президента Россиии Владимира Путина беженцам , прибывающим в российский регион , выплатят по","Курская область готова принять до 1,5 тыс. эвакуированных из Донбасса",https://tass.ru/obschestvo/13767643
Refugies,президент,5,"действий . По поручению президента России Владимира Путина беженцам , прибывающим в российский регион , выплатят по",Пункты пропуска эвакуированных из Донбасса в Ростовской области оборудуют тепловизорами,https://tass.ru/obschestvo/13767575
Refugies,рф,1,"центра . По поручению президента РФ Владимира Путина беженцам , прибывающим в регион , выплатят по 10",Роспотребнадзор уделит особое внимание организации питания беженцев в Ростовской области,https://tass.ru/obschestvo/13762457
Refugies,рф,2,". 
 По поручению президента РФ Владимира Путина беженцам , прибывающим в регион , выплатят по 10",Регионы России готовы принять беженцев из ДНР и ЛНР и оказать им помощь,https://tass.ru/obschestvo/13761433
Refugies,рф,3,"действий . Президент РФ Владимир Путин поручил выплатить беженцам , прибывающим в российский регион , по 10","МЧС сообщает, что эвакуацию беженцев из Донбасса будут вести круглосуточно",https://tass.ru/obschestvo/13770969
Refugies,рф,4,"действий . По поручению президента РФ Владимира Путина беженцам , прибывающим в российский регион , выплатят по",В Дагестане организовали сбор гуманитарной помощи для беженцев из Донбасса,https://tass.ru/obschestvo/13770453
