target_label,target_word,selected_word,role,example_id,excerpt,title,url,n_examples_found
Refugies,беженец,беженец,target,1,"Пресс-служба уточнила, что круглосуточный оперативный волонтерский штаб будет координировать работу по сбору и распределению гуманитарной помощи, встрече беженцев с Донбасса, организации условий проживания и психологической поддержке.","Волонтеры развернули штаб ""Мы вместе"" для помощи прибывшим из ДНР и ЛНР гражданам",https://tass.ru/obschestvo/13763103,5
Refugies,беженец,беженец,target,2,"Руководитель Роспотребнадзора Анна Попова, вылетевшая в Ростовскую область для организации помощи беженцам из Донбасса, особое внимание уделит организации безопасного питания, особенно детей.",Роспотребнадзор уделит особое внимание организации питания беженцев в Ростовской области,https://tass.ru/obschestvo/13762457,5
Refugies,беженец,беженец,target,3,"По поручению президента РФ Владимира Путина беженцам, прибывающим в регион, выплатят по 10 тыс. рублей, в область отправились врио главы МЧС Александр Чуприян и глава Роспотребнадзора Анна Попова.",Роспотребнадзор уделит особое внимание организации питания беженцев в Ростовской области,https://tass.ru/obschestvo/13762457,5
Refugies,беженец,беженец,target,4,"""Палатки для размещения беженцев, прибывших из Донецкой и Луганской республик, разворачивают вблизи пункта пропуска Матвеев Курган, примерно в 300 метрах от пункта пропуска"", - сказал собеседник агентства.",Источник: для эвакуированных из ДНР и ЛНР разворачивают палатки возле КПП Матвеев Курган,https://tass.ru/obschestvo/13762407,5
Refugies,беженец,беженец,target,5,"Нижегородская область направит 40 тонн гуманитарной помощи в Ростовскую область для беженцев с Донбасса, два грузовика повезут продовольствие и товары первой необходимости в субботу.",Нижегородская область направит 40 тонн гуманитарной помощи беженцам с Донбасса,https://tass.ru/obschestvo/13762337,5
Refugies,беженец,украинец,neighbor,1,"/ТАСС/. Украинцы с подконтрольных киевским властям территорий Украины, а также жители Донбасса в понедельник начали прибывать в Крым и размещаться у родственников и друзей, сообщил ТАСС председатель регионального отделения Российского Красного Креста (РКК) Владимир Баучкин.","В РКК сообщили, что граждане Украины эвакуируются в Крым из-за столкновений в Донбассе",https://tass.ru/obschestvo/13786703,5
Refugies,беженец,украинец,neighbor,2,"Он затруднился оценить, сколько всего украинцев с подконтрольных киевским властям территорий Украины и жителей ДНР и ЛНР разместились на полуострове.","В РКК сообщили, что граждане Украины эвакуируются в Крым из-за столкновений в Донбассе",https://tass.ru/obschestvo/13786703,5
Refugies,беженец,украинец,neighbor,3,"Власти также обратились к жителям, которые готовы принять у себя украинцев.",МВД Литвы зарегистрировало 10 тыс. пунктов для размещения беженцев с Украины,https://tass.ru/mezhdunarodnaya-panorama/13841351,5
Refugies,беженец,украинец,neighbor,4,"Как во вторник заявил замминистра внутренних дел республики Виталиюс Дмитриевас, Литва готовится принять до 100 тыс. украинцев.",МВД Литвы зарегистрировало 10 тыс. пунктов для размещения беженцев с Украины,https://tass.ru/mezhdunarodnaya-panorama/13841351,5
Refugies,беженец,украинец,neighbor,5,"По его словам, оцениваются возможности приема беженцев по трем сценариям: если в Литве будет 5 тыс., 25 тыс. и до 100 тыс. украинцев.",МВД Литвы зарегистрировало 10 тыс. пунктов для размещения беженцев с Украины,https://tass.ru/mezhdunarodnaya-panorama/13841351,5
Refugies,беженец,вынужденный,neighbor,1,"Волонтеры также готовы оказать психологическую и социальную поддержку вынужденным переселенцам, отметил он.","Волонтеры развернули штаб ""Мы вместе"" для помощи прибывшим из ДНР и ЛНР гражданам",https://tass.ru/obschestvo/13763103,5
Refugies,беженец,вынужденный,neighbor,2,"""В целях создания условий для вынужденных переселенцев с юго-востока Украины, прибывающих на территорию Российской Федерации, в Республике Дагестан организован сбор гуманитарной помощи с целью оперативной отправки в пункты временного размещения в Ростовскую область для людей пожилого возраста, женщин, детей и сирот"", - сказал собеседник агентства.",В Дагестане организовали сбор гуманитарной помощи для беженцев из Донбасса,https://tass.ru/obschestvo/13770453,5
Refugies,беженец,вынужденный,neighbor,3,"""На базе регионального Красного креста открылся пункт приема гуманитарной помощи для вынужденных переселенцев из ДНР и ЛНР.",Пункт сбора гуманитарной помощи беженцам из ДНР и ЛНР открыли в Белгороде,https://tass.ru/obschestvo/13769633,5
Refugies,беженец,вынужденный,neighbor,4,"""Вчера правительством перечислены деньги на выплаты вынужденным переселенцам с территории Украины, и каждому, кто прибыл на территорию с момента объявления эвакуации, будет выплачено по 10 тыс. рублей, сейчас организованы все работы по выполнению этой работы, с сегодняшнего дня пойдут компенсационные выплаты"", - отметил он.","Чуприян сообщил, что беженцев из Донбасса готовы принять 26 российских регионов",https://tass.ru/obschestvo/13765485,5
Refugies,беженец,вынужденный,neighbor,5,"""В настоящее время о готовности к принятию вынужденных переселенцев заявили 30 регионов России.",Более 250 пунктов временного размещения в России готовы принять жителей Донбасса,https://tass.ru/obschestvo/13776293,5
Refugies,беженец,переселенец,neighbor,1,"Волонтеры также готовы оказать психологическую и социальную поддержку вынужденным переселенцам, отметил он.","Волонтеры развернули штаб ""Мы вместе"" для помощи прибывшим из ДНР и ЛНР гражданам",https://tass.ru/obschestvo/13763103,5
Refugies,беженец,переселенец,neighbor,2,"Первые составы уже сегодня отправятся из Таганрога в Воронеж, где для переселенцев также подготовлены четыре пункта временного размещения (ПВР)"", - сказал он.","МЧС сообщает, что эвакуацию беженцев из Донбасса будут вести круглосуточно",https://tass.ru/obschestvo/13770969,5
Refugies,беженец,переселенец,neighbor,3,"""В целях создания условий для вынужденных переселенцев с юго-востока Украины, прибывающих на территорию Российской Федерации, в Республике Дагестан организован сбор гуманитарной помощи с целью оперативной отправки в пункты временного размещения в Ростовскую область для людей пожилого возраста, женщин, детей и сирот"", - сказал собеседник агентства.",В Дагестане организовали сбор гуманитарной помощи для беженцев из Донбасса,https://tass.ru/obschestvo/13770453,5
Refugies,беженец,переселенец,neighbor,4,"""На базе регионального Красного креста открылся пункт приема гуманитарной помощи для вынужденных переселенцев из ДНР и ЛНР.",Пункт сбора гуманитарной помощи беженцам из ДНР и ЛНР открыли в Белгороде,https://tass.ru/obschestvo/13769633,5
