target,target_word,rank,similar_word,similarity
Benevoles,волонтер,1,доброволец,0.6447914242744446
Benevoles,волонтер,2,петербуржец,0.6365456581115723
Benevoles,волонтер,3,волонтерский,0.62094646692276
Benevoles,волонтер,4,вскс,0.6201446652412415
Benevoles,волонтер,5,рота,0.6085190773010254
Benevoles,волонтер,6,горожанин,0.5967537760734558
Benevoles,волонтер,7,кастюкевича,0.5928437113761902
Benevoles,волонтер,8,сортировочный,0.5896090865135193
Benevoles,волонтер,9,активист,0.5859696269035339
Benevoles,волонтер,10,молодежка,0.5844776630401611
Benevoles,волонтер,11,гвардия,0.5838553309440613
Benevoles,волонтер,12,молодежки,0.5818615555763245
Benevoles,волонтер,13,спасатель,0.57904052734375
Benevoles,волонтер,14,бизнесмен,0.5731757879257202
Benevoles,волонтер,15,объединить,0.56656813621521
Benevoles,волонтер,16,крыло,0.5654758810997009
Benevoles,волонтер,17,мывместе,0.5654509663581848
Benevoles,волонтер,18,мгер,0.559658944606781
Benevoles,волонтер,19,онф,0.5596033334732056
Benevoles,волонтер,20,студенческий,0.5587929487228394
Refugies,беженец,1,украинец,0.5742661356925964
Refugies,беженец,2,вынужденный,0.5719411969184875
Refugies,беженец,3,переселенец,0.5624068379402161
Refugies,беженец,4,приезжих,0.5511407852172852
Refugies,беженец,5,эвакуированных,0.5507223010063171
Refugies,беженец,6,приднестровье,0.5480030179023743
Refugies,беженец,7,подсчитать,0.54649817943573
Refugies,беженец,8,первоначальный,0.5453375577926636
Refugies,беженец,9,человек,0.5442399382591248
Refugies,беженец,10,полагать,0.5422817468643188
Refugies,беженец,11,исчерпать,0.5397982597351074
Refugies,беженец,12,эвакуируемым,0.5396780967712402
Refugies,беженец,13,миллион,0.5344160795211792
Refugies,беженец,14,прибывать,0.5310544371604919
Refugies,беженец,15,вильнюс,0.5291523337364197
Refugies,беженец,16,подсчет,0.5281330943107605
Refugies,беженец,17,лей,0.5270028710365295
Refugies,беженец,18,венгрия,0.523810088634491
Refugies,беженец,19,пик,0.519862949848175
Refugies,беженец,20,румыния,0.5184395909309387
Russie,россия,1,рф,0.5965670943260193
Russie,россия,2,подавляющее,0.5393155813217163
Russie,россия,3,непредвиденный,0.5356887578964233
Russie,россия,4,супруновский,0.5226610898971558
Russie,россия,5,самопровозглашенный,0.5222468376159668
Russie,россия,6,связи,0.5210049748420715
Russie,россия,7,погрануправления,0.5108566880226135
Russie,россия,8,эвакуируемым,0.5086789727210999
Russie,россия,9,главк,0.5062888264656067
Russie,россия,10,оперштаб,0.5044988393783569
Russie,россия,11,фсб,0.5038353204727173
Russie,россия,12,прибывающим,0.5033431649208069
Russie,россия,13,объявление,0.5013812780380249
Russie,россия,14,махмуд,0.49949559569358826
Russie,россия,15,донбасс,0.496415913105011
Russie,россия,16,ларке,0.49353182315826416
Russie,россия,17,федерация,0.4930715560913086
Russie,россия,18,дуда,0.49275344610214233
Russie,россия,19,нарастающей,0.49250155687332153
Russie,россия,20,сократиться,0.49123096466064453
Ukraine,украина,1,отметка,0.5758796334266663
Ukraine,украина,2,захват,0.543642520904541
Ukraine,украина,3,затронуть,0.5279746651649475
Ukraine,украина,4,подавляющее,0.5269230008125305
Ukraine,украина,5,сводка,0.5255137085914612
Ukraine,украина,6,телеобращении,0.5167409777641296
Ukraine,украина,7,беларусь,0.5131828784942627
Ukraine,украина,8,вырасти,0.5129591226577759
Ukraine,украина,9,подконтрольных,0.5110713839530945
Ukraine,украина,10,резко,0.5077874660491943
Ukraine,украина,11,уничтожение,0.5071318745613098
Ukraine,украина,12,ежесуточно,0.5068469047546387
Ukraine,украина,13,снизиться,0.5012869834899902
Ukraine,украина,14,превысить,0.49750426411628723
Ukraine,украина,15,варшава,0.4973648190498352
Ukraine,украина,16,выплачиваться,0.4964055120944977
Ukraine,украина,17,украинскую,0.4962398409843445
Ukraine,украина,18,вдвое,0.49472498893737793
Ukraine,украина,19,профинансировать,0.4935671389102936
Ukraine,украина,20,украинской,0.4902763068675995
