text,published_dt,topic
"Волонтеры развернули штаб ""Мы вместе"" для помощи прибывшим из ДНР и ЛНР гражданам",2022-02-18T22:21:32,8
"Волонтер рассказал о помощи жителям ДНР, которые не едут в пункты временного размещения",2022-02-18T22:09:51,8
Роспотребнадзор уделит особое внимание организации питания беженцев в Ростовской области,2022-02-18T20:56:09,9
Из Луганска в Россию отправился первый автобус с эвакуируемыми жителями,2022-02-18T20:53:55,5
Источник: для эвакуированных из ДНР и ЛНР разворачивают палатки возле КПП Матвеев Курган,2022-02-18T20:53:50,9
Нижегородская область направит 40 тонн гуманитарной помощи беженцам с Донбасса,2022-02-18T20:45:31,3
В Ростовской области подготовили ПВР на 3 274 места для размещения жителей ДНР и ЛНР,2022-02-18T19:34:50,9
Первые автобусы с беженцами из ДНР прибыли в Ростовскую область,2022-02-18T19:02:29,5
Регионы России готовы принять беженцев из ДНР и ЛНР и оказать им помощь,2022-02-18T18:55:14,4
"В Госдуме заявили, что деньги беженцам с Донбасса могут перечислить на карту",2022-02-18T17:55:37,11
"В ГД заявили, что другие регионы России должны готовиться к приему беженцев из ДНР и ЛНР",2022-02-18T17:50:09,7
Детский омбудсмен РФ готов оказать содействие эвакуированным из ЛНР и ДНР детям,2022-02-18T17:35:44,8
"Глава ДНР не исключил, что в Россию из Донбасса эвакуируют ""сотни и сотни тысяч человек""",2022-02-18T17:22:37,-1
Минфин перечислит средства на выплаты в 10 тыс. рублей беженцам из ЛНР и ДНР,2022-02-18T17:08:02,11
"В Госдуме заявили, что сотни тысяч беженцев из Донбасса могут прибыть в Ростовскую область",2022-02-18T17:07:40,7
МГЕР поможет с размещением беженцев из Донбасса,2022-02-18T16:28:51,-1
В Ростовской области создали оперативный штаб в связи с эвакуацией населения из ДНР и ЛНР,2022-02-18T16:22:37,1
Путин поручил обеспечить выплаты по 10 тыс. руб. беженцам из Донбасса в Ростовской области,2022-02-18T15:58:21,11
Власти Крыма заявили о готовности принять жителей ДНР,2022-02-18T14:18:53,7
"В Думе заявили, что Ростовская область справится с приемом жителей ДНР и ЛНР",2022-02-18T13:46:30,9
Пункты пропуска на границе с Украиной в Ростовской области работают в штатном режиме,2022-02-19T19:56:02,1
"МЧС сообщает, что эвакуацию беженцев из Донбасса будут вести круглосуточно",2022-02-19T19:05:54,7
"Волгоградская область готова принять 3,5 тыс. беженцев из ДНР и ЛНР",2022-02-19T18:25:33,4
В Дагестане организовали сбор гуманитарной помощи для беженцев из Донбасса,2022-02-19T17:58:10,8
Более 4 тыс. беженцев из ДНР и ЛНР находятся в ростовских пунктах временного размещения,2022-02-19T17:40:54,6
Ненецкий автономный округ готов принять 115 беженцев из ЛНР и ДНР,2022-02-19T17:40:23,4
Беженцы из Донбасса начали получать выплаты по 10 тыс. рублей,2022-02-19T17:21:00,11
"""Единая Россия"" окажет гуманитарную помощь эвакуированным из Донбасса жителям",2022-02-19T17:19:52,-1
Первый поезд с беженцами из Донбасса отравился в Воронежскую область,2022-02-19T17:16:08,5
Глава ЕАО Гольдштейн заявил о готовности региона принять беженцев из Донбасса,2022-02-19T16:45:31,7
Пункт сбора гуманитарной помощи беженцам из ДНР и ЛНР открыли в Белгороде,2022-02-19T16:44:22,8
Единороссы откроют в Ростовской области центр правовой поддержки для беженцев из Донбасса,2022-02-19T16:37:02,8
"Регионы Северного Кавказа смогут принять 3,3 тыс. беженцев из Донбасса",2022-02-19T15:45:05,4
Более 750 жителей Луганска в течение дня эвакуировано в Россию,2022-02-19T15:22:05,1
Около 500 беженцев из ДНР и ЛНР прибудут 20 февраля в Орловскую область,2022-02-19T14:17:47,6
Режим повышенной готовности вводится в Волгоградской области из-за приема жителей Донбасса,2022-02-19T14:10:28,1
В Оренбургской области сформируют перечень вакансий для беженцев из ЛНР и ДНР,2022-02-19T14:04:04,4
"Около 1,5 тыс. мест для беженцев из Донбасса подготовят в Подмосковье",2022-02-19T14:01:02,9
Первые поезда с эвакуированными жителями Донбасса прибыли в Ростовскую область,2022-02-19T13:55:38,5
"В Госдуме заявили, что единороссы и волонтеры оказывают помощь беженцам из ДНР и ЛНР",2022-02-19T13:45:34,7
Режим повышенной готовности ввели в Воронежской области из-за приема беженцев из ДНР и ЛНР,2022-02-19T13:40:07,1
Власти Ростовской области объявили сбор гуманитарной помощи для беженцев с Донбасса,2022-02-19T13:35:53,8
"Водолацкий сообщил, что до 70% беженцев выезжают с территории ДНР и ЛНР самостоятельно",2022-02-19T12:37:32,-1
Калининградская область готова принять 300 беженцев из ЛНР и ДНР,2022-02-19T12:34:05,4
"Курская область готова принять до 1,5 тыс. эвакуированных из Донбасса",2022-02-19T12:15:22,4
Пункты пропуска эвакуированных из Донбасса в Ростовской области оборудуют тепловизорами,2022-02-19T12:11:26,9
Около трети от всех эвакуированных жителей Донбасса составляют дети,2022-02-19T11:56:52,0
Справороссы и структуры Прилепина готовы помогать эвакуированным из ДНР и ЛНР,2022-02-19T11:44:41,8
Регионы России готовы принять эвакуированных с Донбасса и предоставить помощь,2022-02-19T11:41:05,4
Жители Ростовской области оказывают помощь эвакуированным из ЛНР и ДНР,2022-02-19T11:18:11,3
"Чуприян заверил беженцев из Донбасса, что МЧС РФ окажет им всю необходимую помощь",2022-02-19T11:15:48,7
Брянская область готовится принять 500 беженцев из ДНР и ЛНР,2022-02-19T11:13:11,4
В Россию эвакуировали уже около 36 тыс. жителей Донбасса,2022-02-19T10:56:51,1
"Воронежская область готова принять 4,5 тыс. беженцев из ДНР и ЛНР",2022-02-19T10:51:39,4
Москалькова заявила о готовности оказывать помощь эвакуированным из ДНР и ЛНР,2022-02-19T10:47:34,8
"Водолацкий заявил, что около 36 тыс. беженцев прибыли на территорию Ростовской области",2022-02-19T10:32:13,-1
Тульская область готова принять для размещения около 500 детей из ДНР и ЛНР,2022-02-19T10:28:32,4
Южная Осетия готова принять группу детей-сирот из ДНР,2022-02-19T10:26:40,4
В Ростовской области создают пункты питания и проживания для эвакуируемых с Донбасса,2022-02-19T10:26:08,9
Попова предложила не размещать беженцев из Донбасса в Краснодарском крае и на Ставрополье,2022-02-19T10:15:53,7
Продолжение обстрелов ДНР и ЛНР и мобилизация.,2022-02-19T10:06:07,1
"Молодежный актив ""Единой России"" прибыл в Ростовскую область для помощи жителям ДНР и ЛНР",2022-02-19T10:01:23,5
Архангельская область готова принять 300 беженцев из ЛНР и ДНР,2022-02-19T09:58:47,4
На базе МЧС по Ростовской области открыли горячую линию для беженцев из Донбасса,2022-02-19T09:54:40,8
Беженцев из Донбасса доставят железной дорогой в несколько регионов ЦФО,2022-02-19T09:49:17,9
С территории ЛНР в РФ на данный момент выехали 13 573 человека,2022-02-19T09:46:25,1
Гуманитарную помощь беженцам из ЛНР и ДНР отправили из Нижегородской области,2022-02-19T09:44:41,3
Краснодарский край готов принять и разместить эвакуированных из ДНР и ЛНР мирных жителей,2022-02-19T09:16:57,4
"Чуприян сообщил, что беженцев из Донбасса готовы принять 26 российских регионов",2022-02-19T09:03:06,7
Попова: ситуация с ковидом в Ростовской области из-за беженцев из Донбасса не изменилась,2022-02-19T08:52:26,7
"""Единая Россия"" на Кубани открыла пункты сбора гуманитарной помощи для жителей ДНР и ЛНР",2022-02-19T08:33:29,8
Из Донбасса в Ростовскую область прибыли более 10 тыс. человек,2022-02-19T08:25:21,5
В Ростовской области создали пункты временного размещения для беженцев на 13 тыс. мест,2022-02-19T08:24:22,9
Беженцев из Донбасса могут направить в семь регионов России,2022-02-19T07:45:46,4
"В ФСБ сообщили, что все пункты пропуска в Ростовской области работают только на въезд в РФ",2022-02-19T07:36:22,1
"Якутия готова принять 1,5 тыс. беженцев из ДНР и ЛНР",2022-02-19T07:35:02,4
Отельеров Ростовской области попросили помочь в размещении беженцев с Донбасса,2022-02-19T07:30:32,-1
Единовременную помощь эвакуированным жителям Донбасса планируют выдать 19 февраля,2022-02-19T07:26:08,3
"Водолацкий заявил, что проблем с выдачей единовременной помощи жителям Донбасса нет",2022-02-19T06:44:32,7
На границе с Ростовской областью к полудню ожидают прибытия 25 тыс. эвакуированных из ЛНР,2022-02-19T06:41:53,6
Для эвакуации жителей Донбасса в Ростовскую область сформировали шесть ж/д составов,2022-02-19T06:20:58,6
"Попова заявила, что беженцев из Донбасса будут тестировать на ковид в местах проживания",2022-02-19T00:08:07,7
Ростовские власти привлекут РЖД к эвакуации жителей Донбасса в случае ухудшения ситуации,2022-02-19T00:00:29,9
"Эвакуированных жителей ДНР разместили в ростовском пансионате ""Звезда""",2022-02-18T23:56:48,9
Врио главы МЧС РФ потребовал начать выплаты беженцам из Донбасса в течение суток,2022-02-18T23:56:46,7
В Ростовскую область поступит более 2 млн тестов на ковид для беженцев Донбасса,2022-02-18T23:45:25,9
"В Ростовскую область прибыли более 1,1 тыс. жителей Донбасса",2022-02-18T23:18:37,5
Более 400 человек и 150 единиц техники помогают при эвакуации жителей из ДНР и ЛНР,2022-02-18T23:00:35,-1
Гигантские пробки и ночь на границе. Как проходит эвакуация тысяч жителей Донбасса в РФ,2022-02-18T23:00:16,1
В регионах России начали сбор гуманитарной помощи для эвакуированных из Донбасса,2022-02-20T19:01:55,8
В Ростовской области эвакуированным жителям Донбасса выдают местные сим-карты,2022-02-20T18:55:45,8
В Орловской области пять пунктов временного размещения готовы к приему жителей ДНР и ЛНР,2022-02-20T18:51:52,9
Чечня направит продовольственную помощь в Ростовскую область для беженцев из Донбасса,2022-02-20T18:45:13,3
В Волгоградской области организуют обучение эвакуированных из Донбасса детей при ПВР,2022-02-20T18:36:32,0
В Волгоградскую область прибыл первый поезд с эвакуированными жителями Донбасса,2022-02-20T18:31:31,5
Первый поезд с эвакуированными жителями ДНР и ЛНР прибыл в Курскую область,2022-02-20T18:25:06,5
В Волгоградской области развернули четыре ПВР для эвакуируемых из ЛНР и ДНР,2022-02-20T18:16:39,9
В Ростовской области началась вакцинация среди эвакуированных жителей Донбасса,2022-02-20T18:08:26,-1
Более 250 пунктов временного размещения в России готовы принять жителей Донбасса,2022-02-20T17:51:19,9
Третий поезд доставил в Воронеж около 500 эвакуированных из Донбасса жителей,2022-02-20T17:47:30,6
Воронеж начал принимать эвакуированных жителей ДНР и ЛНР,2022-02-20T17:40:47,8
"Выплаты в 10 тыс. рублей получили 700 жителей Донбасса, эвакуированных в Россию",2022-02-20T17:21:49,11
"Володацкий заявил, что эвакуация жителей Донбасса в Ростовскую область проходит штатно",2022-02-20T17:20:44,7
Из Ростовской области в регионы отправятся 15 поездов с гражданами Донбасса,2022-02-20T17:17:49,6
Второй поезд эвакуировал из Луганска в Россию около 800 жителей ЛНР,2022-02-20T15:58:05,6
Эвакуация и общая мобилизация. Что происходит в Луганске,2022-02-20T15:44:26,1
Ростовский благотворительный фонд вновь запустил программу помощи прибывающим из Донбасса,2022-02-20T15:09:31,8
Режим повышенной готовности ввели в Рязанской области в связи с приемом жителей Донбасса,2022-02-20T15:04:46,1
Саратовская область планирует принять 500 эвакуированных из ЛНР и ДНР,2022-02-20T14:49:47,4
В Ростовской области подготовили 188 ПВР для почти 14 тыс. жителей Донбасса,2022-02-20T13:32:19,9
"Волонтерский штаб ""Мы вместе"" в Ростове-на-Дону начал оказывать помощь жителям Донбасса",2022-02-20T12:50:49,8
В Нижний Новгород прибудут около 1 тыс. эвакуированных жителей Донбасса,2022-02-20T12:21:08,6
Четвертый поезд с эвакуированными жителями Донбасса отправится в Нижний Новгород,2022-02-20T11:01:48,-1
В Воронежской области ввели режим ЧС из-за роста числа прибывающих жителей Донбасса,2022-02-20T10:54:41,1
В Крыму начали сбор гуманитарной помощи для жителей Донбасса,2022-02-20T10:40:52,8
Более 30 тыс. эвакуированных из ДНР и ЛНР пересекли за сутки государственную границу РФ,2022-02-20T10:33:39,2
