Topic,Count,Name,Representation,Representative_Docs
-1,112,-1_области пересекли_помогают_волонтеров_пересекли более,"['области пересекли', 'помогают', 'волонтеров', 'пересекли более', 'сутки границу', 'волонтеров помогают', 'рф ростовской', 'тыс волонтеров', 'пересекли', 'границу рф']","['За сутки границу РФ в Ростовской области пересекли более 16 тыс. жителей Донбасса', 'За сутки границу РФ в Ростовской области пересекли более 16 тыс. жителей Донбасса', 'За сутки границу с РФ в Ростовской области пересекли более 16,5 тыс. жителей ДНР и ЛНР']"
0,130,0_детей_детей из_школы_тыс детей,"['детей', 'детей из', 'школы', 'тыс детей', 'лагерях', 'дети', 'сирот', 'детей сирот', 'отдохнут', 'школах']","['В детских лагерях в регионах РФ отдохнут 8 тыс. детей из Запорожской области', 'В санаториях и лагерях Крыма отдохнут 4,5 тыс. детей из Херсонской и Запорожской областей', 'Порядка 300 детей из донецкой Макеевки отдохнут в лагерях Югры летом 2022 года']"
1,86,1_эвакуировали_тыс человек_человек эвакуировали_эвакуировали за,"['эвакуировали', 'тыс человек', 'человек эвакуировали', 'эвакуировали за', 'эвакуированы', 'районов', 'опасных', 'опасных районов', 'из опасных', 'сутки из']","['МО РФ: более 7,5 тыс. человек эвакуировали за сутки из опасных районов Донбасса и Украины', 'Более 19,5 тыс. человек эвакуировали за сутки из опасных районов Украины и Донбасса', 'Более 27 тыс. человек эвакуировали в Россию за сутки из опасных районов Донбасса и Украины']"
2,86,2_прибыл_поезд_жителями_первый поезд,"['прибыл', 'поезд', 'жителями', 'первый поезд', 'эвакуированными жителями', 'прибыли', 'поезд эвакуированными', 'первый', 'эвакуированными', 'жителями донбасса']","['Первый поезд с эвакуированными жителями ДНР и ЛНР прибыл в Курскую область', 'В Волгоградскую область прибыл первый поезд с эвакуированными жителями Донбасса', 'В Белгородскую область прибыл первый поезд с эвакуированными жителями ДНР и ЛНР']"
3,79,3_заявил_заявили_заявили что_заявил что,"['заявил', 'заявили', 'заявили что', 'заявил что', 'оон', 'глава', 'мчс', 'сообщил', 'условия', 'по']","['Турчак заявил, что беженцы из Харьковской области обеспечены всем необходимым', 'Путин заявил, что власти РФ работают над упрощенной выдачей документов беженцам с Украины', 'Глава МЧС потребовал оказывать помощь беженцам из Донбасса, исходя из их потребностей']"
4,78,4_открыли_сбор_помощи_помощи для,"['открыли', 'сбор', 'помощи', 'помощи для', 'для помощи', 'помощи беженцам', 'сбор гуманитарной', 'единороссы', 'открыли пункт', 'пункт']","['В Кисловодске открыли пункт сбора гуманитарной помощи для жителей ДНР и ЛНР', 'В Москве открыли еще один штаб по сбору гуманитарной помощи для жителей Донбасса', 'Единороссы в Петербурге открыли пункт сбора гуманитарной помощи для жителей Донбасса']"
5,76,5_развернули_размещения_подготовили_временного размещения,"['развернули', 'размещения', 'подготовили', 'временного размещения', 'временного', 'размещения для', 'пунктов', 'пунктов временного', 'пвр', 'пвр для']","['В Ростовской области создали пункты временного размещения для беженцев на 13 тыс. мест', 'В Орловской области для беженцев ЛНР и ДНР развернули шесть пунктов временного размещения', 'В Крыму развернули шесть пунктов временного размещения для эвакуированных с Украины']"
6,67,6_млн беженцев_прибыли россию_беженцев прибыли_февраля,"['млн беженцев', 'прибыли россию', 'беженцев прибыли', 'февраля', 'прибыли', 'млн', 'территории украины', 'более млн', 'территории', 'свыше млн']","['Свыше 4,5 млн беженцев прибыли в Россию с территории Украины и Донбасса с февраля', 'Свыше 5 млн беженцев прибыли в Россию с территории Украины и Донбасса с февраля', 'Свыше 4,1 млн беженцев прибыли в Россию с территории Украины и Донбасса с февраля']"
7,64,7_рублей_выплаты_млрд_млн рублей,"['рублей', 'выплаты', 'млрд', 'млн рублей', 'получили', 'обратились', 'млрд рублей', 'рублей на', 'беженцам', 'тыс рублей']","['Более 3,8 млрд рублей выплатили беженцам, прибывшим в РФ с Украины и из Донбасса', 'Кабмин выделил около 10,4 млрд рублей на выплаты беженцам из Донбасса и с Украины', 'Более 4,5 млрд рублей выплатили беженцам, прибывшим в РФ с Украины и из Донбасса']"
8,56,8_принять_готова принять_готова_область готова,"['принять', 'готова принять', 'готова', 'область готова', 'принять до', 'готов принять', 'принять тыс', 'готов', 'до тыс', 'принять 300']","['Псковская область готова принять до 1 тыс. эвакуированных жителей Донбасса', 'Мурманская область готова принять не менее 300 эвакуированных с Донбасса', 'Самарская область готова принять до 1 тыс. эвакуированных жителей Донбасса']"
