Source,Target,Type,Weight
channel1197026404,channel1197026404,Directed,19
channel1197026404,channel1505469374,Directed,5
channel1197026404,channel1691851482,Directed,13
channel1240295821,channel1240295821,Directed,77
channel1240295821,channel1622616202,Directed,1
channel1240295821,channel1634791002,Directed,5
channel1240295821,channel1687942752,Directed,3
channel1240295821,channel1691851482,Directed,1
channel1240295821,channel1709841251,Directed,1
channel1240295821,channel1849412819,Directed,3
channel1240295821,channel1877139886,Directed,5
channel1288667231,channel1522150199,Directed,2
channel1288667231,channel1539747708,Directed,1
channel1288667231,channel1625862186,Directed,3
channel1288667231,channel1631183791,Directed,1
channel1288667231,channel1679766418,Directed,6
channel1420416077,channel1197026404,Directed,1
channel1420416077,channel1505469374,Directed,1
channel1420416077,channel1511818036,Directed,1
channel1420416077,channel1625862186,Directed,3
channel1420416077,channel1632256033,Directed,1
channel1420416077,channel1691851482,Directed,1
channel1420416077,channel1849412819,Directed,1
channel1460459174,channel1460459174,Directed,5
channel1460459174,channel1522150199,Directed,1
channel1460459174,channel1625862186,Directed,1
channel1484924247,channel1197026404,Directed,45
channel1484924247,channel1505469374,Directed,51
channel1484924247,channel1657910535,Directed,1
channel1484924247,channel1691851482,Directed,54
channel1504072664,channel1504072664,Directed,174
channel1504072664,channel1539747708,Directed,26
channel1504072664,channel1679766418,Directed,4
channel1507432237,channel1507432237,Directed,32
channel1507432237,channel1522150199,Directed,7
channel1507432237,channel1583909977,Directed,3205
channel1507432237,channel1625565768,Directed,1
channel1507432237,channel1715857933,Directed,1
channel1507432237,channel1719882162,Directed,4
channel1507432237,channel1760821207,Directed,2
channel1522150199,channel1522150199,Directed,11
channel1531708408,channel1531708408,Directed,53
channel1531708408,channel1787075017,Directed,50
channel1531708408,channel1792739729,Directed,1850
channel1531708408,channel1799833910,Directed,50
channel1539008108,channel1522150199,Directed,2
channel1539008108,channel1637843696,Directed,1
channel1539008108,channel1719882162,Directed,10
channel1539008108,channel1760821207,Directed,1
channel1539434800,channel1197026404,Directed,2
channel1539434800,channel1505469374,Directed,1
channel1539434800,channel1541864873,Directed,1
channel1539434800,channel1622616202,Directed,2
channel1539434800,channel1625862186,Directed,14
channel1539434800,channel1657910535,Directed,2
channel1539434800,channel1687942752,Directed,10
channel1539434800,channel1691851482,Directed,11
channel1539434800,channel1715857933,Directed,15
channel1539434800,channel1787075017,Directed,1
channel1539434800,channel1789810421,Directed,1
channel1539434800,channel1792960004,Directed,666
channel1539434800,channel1799833910,Directed,1
channel1539434800,channel1812615031,Directed,1
channel1539434800,channel1836799898,Directed,5
channel1539434800,channel1849412819,Directed,1
channel1539747708,channel1539747708,Directed,23
channel1539747708,channel1657910535,Directed,1
channel1539747708,channel1884077524,Directed,2
channel1542699662,channel1531708408,Directed,4
channel1542699662,channel1625862186,Directed,4
channel1542699662,channel1792739729,Directed,4
channel1543206536,channel1303307714,Directed,532
channel1550305048,channel1522150199,Directed,1
channel1550305048,channel1550305048,Directed,1
channel1550305048,channel1637843696,Directed,1550
channel1550305048,channel1719882162,Directed,1
channel1552139914,channel1836799898,Directed,1
channel1557988614,channel1557988614,Directed,35
channel1557988614,channel1625565768,Directed,2924
channel1557988614,channel1679766418,Directed,7
channel1559689832,channel1197026404,Directed,9
channel1559689832,channel1505469374,Directed,18
channel1559689832,channel1511818036,Directed,1
channel1559689832,channel1522150199,Directed,1
channel1559689832,channel1541864873,Directed,3
channel1559689832,channel1596548882,Directed,10
channel1559689832,channel1623635238,Directed,1
channel1559689832,channel1625565768,Directed,3
channel1559689832,channel1625862186,Directed,2
channel1559689832,channel1634791002,Directed,13
channel1559689832,channel1657910535,Directed,17
channel1559689832,channel1681206694,Directed,1
channel1559689832,channel1687942752,Directed,54
channel1559689832,channel1689990766,Directed,5
channel1559689832,channel1691851482,Directed,62
channel1559689832,channel1715857933,Directed,3
channel1559689832,channel1719882162,Directed,1
channel1559689832,channel1734312059,Directed,1
channel1559689832,channel1760821207,Directed,120
channel1559689832,channel1812615031,Directed,1
channel1559689832,channel1836799898,Directed,2
