Id,Label,Titre_support,json_name,json_type,Ville_Région,Thématique,filename
channel1700758525,assist_sotchi,assist_sotchi,Помощь г Сочи Краснодарский край,public_supergroup,Sotchi,Activités d'une organisation bénévole,assist_sotchi.json
channel1707130413,assist_krasnodar_chat,assist_krasnodar_chat,Краснодар. Помощь Chat,private_supergroup,Krasnodar et la région de Krasnodar,Activités d'une organisation bénévole,assist_krasnodar_chat.json
channel1673172889,assistance_a_chebekino,assistance_a_chebekino,Помощь Шебекино №1,public_channel,Belgorod,Offre et recherche d'aide,assistance_a_chebekino.json
channel1623635238,kherson_in_tuapse,kherson_in_tuapse,🍉 Херсонцы в Туапсе🍉,public_supergroup,Krasnodar et la région de Krasnodar,Centres d'hébergement temporaire (PVR),kherson_in_tuapse.json
channel1670808426,donbass_en_russie_chat,donbass_en_russie_chat,Донбасс в РФ📝ЧАТ,private_supergroup,National (russe),Générale,donbass_en_russie_chat.json
channel1702859286,volontaires_mozhaisk,volontaires_mozhaisk,Волонтеры Подмосковья | Можайск,public_channel,Moscou et la région de Moscou,Activités d'une organisation bénévole,volontaires_mozhaisk.json
channel1643805351,assist_tcheliabinsk,assist_tcheliabinsk,Помощь беженцам / Челябинск,public_supergroup,Tcheliabinsk,Activités d'une organisation bénévole,assist_tcheliabinsk.json
channel1723248257,demenager_avec_un_enfant,demenager_avec_un_enfant,Переезд с ребёнком | Адаптация 🕊,public_channel,National (russe),Assistance psychologique,demenager_avec_un_enfant.json
channel1423405867,restants_stpet_chat,restants_stpet_chat,Петербург. Остающиеся Chat,private_supergroup,Saint-Pétersbourg et la région de Leningrad,Générale,restants_stpet_chat.json
channel1539747708,a_tes_cotes,a_tes_cotes,На твоей стороне Центр помощи,public_supergroup,Belgorod,Activités d'une organisation bénévole,a_tes_cotes.json
