Type,Commentgroup,Chaine has chat-comms telecharged,Chat avec des sous catégories,Ville/Région,Communautés régionales de compatriotes,Titre_ru,Titre_fr,Titre_support,Lien,Date de création,Dérnier message,Nombre de messages (mai 2025),Nombre de messages (avril 2026),Type de communication,Thématique,Organisatio bénévole,Groupes de sources,Description,Nombre de participants (mai 2025),Nombre de participants (avril 2026),Téléchargé le ,Téléchargé
Chaine,,1,,National (russe),0,Беженцы в России,Réfugiés en Russie,refugies_en_russie,https://t.me/SOS_Ryssia,18.02.2022,présent,14685,,Messages structurés,Offre et recherche d'aide,,Беженцы в России,"Ce canal republie les offres et les demandes d'aide émanant de bénévoles ou de réfugiés ukrainiens. En outre, le canal publie des informations générales (lois, numéros d'assistance, adresses, etc.). De temps à autre, des publications moins informatives apparaissent, telles que des citations de Poutine, des vœux pour le jour de la victoire et d'autres messages.",20242,19081,11/04/2026,1
Chat,1,,,National (russe),0,Беженцы в России (чат),Réfugiés en Russie (chat),refugies_en_russie_chat,https://t.me/chat_russian_sos,20.02.2022,présent,105173,115 132,Commentgoupe,Générale,,Беженцы в России,"Ce chat appartient à la chaîne mentionnée ci-dessus. Les participants y publient des offres et des demandes d'aide, qui peuvent ensuite être republiées sur la chaîne afin d'être diffusées à un public plus large. Il est intéressant de noter qu'au début (le 21 février), les annonces d'offres d'emploi ont été accueillies négativement dans le chat (les gens craignaient que les personnes dans le besoin soient trompées). Les discussions politiques ne sont pas les bienvenues dans le chat et, comme on peut le constater, elles sont supprimées par l'administrateur. Le chat permet également aux personnes de communiquer entre elles, de partager leurs expériences et de poser des questions. Le chat est toujours actif à ce jour, les personnes discutent activement de questions administratives et réagissent aux actualités de la chaîne.",1921,1278,11/04/2026,1
Chaine,,1,,National (russe),1,Донбасс в РФ,Donbass en Russie,donbass_en_russie,https://t.me/DonUkrRos,23.07.2022,présent,7229,8213,Chaîne d'information,Générale,,Донбасс в РФ,"Informations sur les documents, les paiements ; liens utiles et rappels.",5024,4443,11/04/2026,1
Chat,1,,,National (russe),1,Донбасс в РФ,Donbass en Russie,donbass_en_russie_chat,,23.07.2022,présent,10414,,Commentgoupe,Générale,,Донбасс в РФ,"Informations sur les documents, les paiements ; liens utiles et rappels.",,280,11/04/2026,1
Chaine,,1,,International,0,Навигатор для беженцев,Navigateur pour les réfugiés ,navigateur,https://t.me/navigatorRf,14.07.2022,2024-12-28 00:00:00,5257,,Agrégateur de liens,Générale,,Навигатор,"Informations structurées par hashtags et régions ; point de départ pour les études de cas. Le Navigateur comporte une section intéressante où les utilisateurs partagent les coordonnées des fraudeurs afin que d'autres réfugiés ne soient pas victimes d'arnaques. Très souvent, dans les chats consacrés à l'emploi, les utilisateurs proposent des emplois liés à la vente de drogues.",1044,826,11/04/2026,1
Chat,1,,,International,0,Навигатор для беженцев,Navigateur pour les réfugiés ,navigateur_chat,,14.07.2022,2024-12-28 00:00:00,,1852,Commentgoupe,Générale,,Навигатор,"Informations structurées par hashtags et régions ; point de départ pour les études de cas. Le Navigateur comporte une section intéressante où les utilisateurs partagent les coordonnées des fraudeurs afin que d'autres réfugiés ne soient pas victimes d'arnaques. Très souvent, dans les chats consacrés à l'emploi, les utilisateurs proposent des emplois liés à la vente de drogues.",,36,11/04/2026,1
Chaine,,1,,National (russe),0,Андрей Лысенко волонтер Донецк,"Andriy Lysenko, bénévole à Donetsk",andriy_lysenko,https://t.me/lisenko1972,21.02.2021,présent,5982,6702,Organisationnel,Activités d'une organisation bénévole,Andiy Lysenko,Андрей Лысенко,"Cet individu dispose de sa propre fondation et d'une chaîne YouTube. Fondation : https://fondandreyalysenko.ru/ Chaîne : https://www.youtube.com/@lisenko1000 D'après ce que j'ai compris, cet individu apporte son aide depuis longtemps, bien avant le début de la guerre en 2022.",51727,45181,11/04/2026,1
Chat,1,,,National (russe),0,Андрей Лысенко волонтер Донецк,"Andriy Lysenko, bénévole à Donetsk",andriy_lysenko_chat,https://t.me/lisenko1972_chat,21.02.2021,présent,,159060,Commentgoupe,Activités d'une organisation bénévole,Andiy Lysenko,Андрей Лысенко,"Cet individu dispose de sa propre fondation et d'une chaîne YouTube. Fondation : https://fondandreyalysenko.ru/ Chaîne : https://www.youtube.com/@lisenko1000 D'après ce que j'ai compris, cet individu apporte son aide depuis longtemps, bien avant le début de la guerre en 2022.",,4313,12/04/2026,1
Chaine,,1,,National (russe),0,Будем Жить,Nous vivrons,nous_vivrons,https://t.me/budem_zhit,22.03.2022,présent,10755,13299,Chaîne d'information,Générale,,Nous vivrons,"Instructions détaillées concernant les documents, les paiements et les avantages ; connexion avec le bot.",41676,27787,12/04/2026,1
Chat,1,,,National (russe),0,Будем Жить,Nous vivrons,nous_vivrons_chat,,22.03.2022,présent,,22958,Commentgoupe,Générale,,Nous vivrons,"Instructions détaillées concernant les documents, les paiements et les avantages ; connexion avec le bot.",,158,12/04/2026,1
